ID,Params_0,Params_1,Params_2,Params_3,Params_4,Params_5,Params_6,Params_7,Params_8,FilterType,SoundFilterID
67,0,1,1,1,0,22.04400062561,0.83799999952,0.02800000086,0.00800000038,4,26
70,1,500,500,1,36,80,0,0,0,7,28
71,1,6251,22000,120,140,0,0,0,0,8,28
72,1,1284,22000,36,80,0,0,0,0,7,29
73,1,6251,22000,120,140,0,0,0,0,8,29
74,1,1284,22000,36,120,0,0,0,0,7,30
75,1,6251,22000,120,140,0,0,0,0,8,30
76,1,1000,1000,1,36,80,0,0,0,7,31
77,1,6251,22000,120,140,0,0,0,0,8,31
78,1,500,500,36,80,0,0,0,0,7,32
79,1,6251,22000,120,140,0,0,0,0,8,32
80,1,500,500,1,36,80,0,0,0,7,33
81,1,6251,22000,120,140,0,0,0,0,8,33
184,1,0.93999999762,0,0,0,0,0,0,0,1,135
185,0,1,0.69999998808,0.69999998808,0.20000000298,22,2,0.01999999955,0.00800000038,4,135
186,1,0.94999998808,0,0,0,0,0,0,0,1,136
187,0,1,0.69999998808,0.69999998808,0,22,2,0.01999999955,0.00800000038,4,136
188,0,1,0.69999998808,0.69999998808,0,22,2,0.01999999955,0.00800000038,4,137
189,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,137
190,0,1,0.69999998808,0.69999998808,0,22,2,0.01999999955,0.00800000038,4,138
191,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,138
192,0,1,0.69999998808,0.69999998808,0,22,2,0.01999999955,0.00800000038,4,139
193,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,139
194,0,1,0.69999998808,0.69999998808,0.69999998808,22,2,0.20000000298,0.00800000038,4,140
195,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,140
196,0,1,0.69999998808,0.69999998808,0.69999998808,22,2,0.01999999955,0.00800000038,4,141
197,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,141
198,0,1,0.69999998808,0.69999998808,0.69999998808,22,2,0.01999999955,0.00800000038,4,142
199,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,142
200,0,1,0.69999998808,0.69999998808,0.69999998808,22,2,0.01999999955,0.00800000038,4,143
201,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,143
202,1,0.93000000715,0,0,0,0,0,0,0,1,144
203,0,1,0.69999998808,0.69999998808,0.69999998808,22,2,0.01999999955,0.00800000038,4,144
204,0,1,0.69999998808,0.69999998808,0.69999998808,22,2,0.01999999955,0.00800000038,4,145
205,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,145
206,0,1,0.69999998808,0.69999998808,0.69999998808,22,2,0.01999999955,0.00800000038,4,146
207,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,146
208,0,1,0.69999998808,0.20000000298,0.20000000298,22,2,0.01999999955,0.00800000038,4,147
209,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,147
210,0,1,0.69999998808,0.69999998808,0.20000000298,22,2,0.01999999955,0.00800000038,4,148
211,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,148
212,1,0.93999999762,0,0,0,0,0,0,0,1,149
213,0,1,0.69999998808,0.69999998808,0.20000000298,22,2,0.01999999955,0.00800000038,4,149
214,0,1,0.69999998808,0.69999998808,0.20000000298,22,2,0.01999999955,0.00800000038,4,150
215,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,150
216,0,1,0.69999998808,0.69999998808,0.20000000298,22,2,0.01999999955,0.00800000038,4,151
217,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,151
218,0,1,0.69999998808,0.69999998808,0.20000000298,22,2,0.01999999955,0.00800000038,4,152
219,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,152
220,0,1,0.69999998808,0.69999998808,0.20000000298,22,2,0.01999999955,0.00800000038,4,153
221,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,153
222,1,0.93999999762,0,0,0,0,0,0,0,1,154
223,0,1,0.69999998808,0.69999998808,0.20000000298,22,2,0.01999999955,0.00800000038,4,154
224,0,1,0.69999998808,0.69999998808,0.20000000298,22,2,0.01999999955,0.00800000038,4,155
225,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,155
226,0,1,0.69999998808,0.69999998808,0.20000000298,22,2,0.01999999955,0.00800000038,4,156
227,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,156
228,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,136
229,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,144
230,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,135
231,0,1,1,1,0,22.27199935913,0.83799999952,0.02600000054,0.00999999978,4,22
232,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,149
233,1,65,0.10000000149,0.20000000298,1,0,0,0,0,5,154
234,0,1,1,1,0,24.09300041199,0.83799999952,0.13099999726,0.00999999978,4,8
236,1,67,0.03700000048,0.15600000322,1,0,0,0,0,5,19
