ID,Field_9_0_1_33978_000,Field_9_0_1_33978_001,Field_9_0_1_33978_002,Field_9_0_1_33978_003,Field_9_0_1_33978_004,Field_9_0_1_33978_005,Field_9_0_1_33978_006,Field_9_0_1_33978_007,Field_9_0_1_33978_008,Field_9_0_1_33978_009,Field_9_0_1_33978_010,Field_9_0_1_33978_011,Field_9_0_1_33978_012,Field_9_0_1_33978_013,Field_9_0_1_33978_014,Field_9_0_1_33978_015,Field_9_0_1_33978_016,Field_9_0_1_33978_017,Field_9_0_1_33978_018,Field_9_0_1_33978_019,Field_9_0_1_33978_020,Field_9_0_1_33978_021,Field_9_0_1_33978_022,Field_9_0_1_33978_023,RibbonTexture,Field_9_0_1_33978_025,Field_9_0_1_33978_026,Flags,Field_9_0_1_33978_028,Field_9_0_1_33978_029,EffectTexture_0,EffectTexture_1,EffectTexture_2
16,0.03999999911,1,-0.5,0,0.01999999955,0.20000000298,-0.10000000149,0,1,1,0,0,0.01999999955,0.20000000298,-1,0.05000000075,1,1,1,1,1,1,1,1,1890056,0,2,2,0,0,1715283,3153964,1715283
17,0.00999999978,10,-0.15000000596,0.05000000075,0.00499999989,1,-0.10000000149,0.01999999955,0.03999999911,1,-0.10000000149,-0.01999999955,0.00050000002,1,-0.00050000002,-0.10000000149,1,0,0,1,20,4,4,50,2388503,0,5,7,0,2,3525883,3258611,1715283
18,0.00100000005,1,-0.00999999978,0.00999999978,0.00999999978,1,-0.10000000149,-0.01999999955,0.01999999955,1,-0.10000000149,0.00999999978,0.00200000009,1,-0.15000000596,0.05000000075,1,1,1,1,16,4,4,20,3064390,10,10,1,0,1,3258612,3258613,3258613
19,0.00999999978,1,-0.05000000075,0.00999999978,0.00999999978,1,-0.10000000149,-0.01999999955,0.01999999955,1,-0.10000000149,0.00999999978,0.00499999989,0.10000000149,-0.15000000596,0.05000000075,1,1,1,1,6,4,4,0.75,1966574,6,5,5,1,1,3258614,3258614,3258614
20,0.00999999978,1,-0.05000000075,0.05000000075,0.00800000038,1,-0.10000000149,-0.01999999955,0.01799999923,1,-0.10000000149,0.00999999978,0.00499999989,1,-0.15000000596,0.05000000075,1,1,1,1,4,4,4,20,3064390,2,10,5,1,0.80000001192,3307834,3258613,3258613
21,0.0120000001,1,-0.10000000149,0.01999999955,0.00800000038,1,-0.10000000149,-0.00999999978,0.01799999923,1,-0.05000000075,0.00499999989,0.00499999989,1,-0.10000000149,-0.10000000149,1,1,1,1,4,4,4,20,1006703,0,10,5,1,0.5,3258605,3258613,3258613
22,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1598548,0,0,0,0,0,1598548,1598548,1598548
23,0.00999999978,1,-0.15000000596,0.05000000075,0.00499999989,1,-0.10000000149,0.01999999955,0.00249999994,1,-0.10000000149,-0.5,0.00249999994,1,-0.10000000149,-0.5,1,1,1,1,16,16,16,20,985109,5,15,3,0,1,3307836,3307842,985109
24,0.00100000005,1,-0.00999999978,0.00999999978,0.00999999978,1,-0.10000000149,-0.01999999955,0.01999999955,1,-0.10000000149,0.00999999978,0.00999999978,1,-0.30000001192,0.60000002384,0.1882353127,0.44313728809,0.42745101452,1,0,10,7,50,985109,0,15,3,0,0,3258612,3258610,3258610
25,0.00100000005,1,-0.0120000001,-0.01999999955,0.00999999978,1,-0.10000000149,-0.01999999955,0.01999999955,1,-0.10000000149,0.00999999978,0.00999999978,1,-0.30000001192,0.5,0.1882353127,0.44313728809,0.42745101452,1,0,10,7,50,985109,0,20,3,0,0,3258612,3258610,3258610
26,0.00999999978,6,0.20000000298,0.05000000075,0.00800000038,1,-0.20000000298,-0.01999999955,0.01799999923,1,0.20000000298,0.00999999978,0.00499999989,1,-0.00999999978,0.00999999978,1,1,1,1,4,4,4,8,952533,0,20,5,1,2,3193683,3258613,3258613
27,0.00999999978,6,-0.00999999978,0.05000000075,0.00800000038,1,-0.05000000075,-0.01999999955,0.01799999923,1,-0.05000000075,0.00999999978,0.00200000009,1,-0.10000000149,0.00499999989,1,1,1,1,8,8,8,8,1966574,10,10,7,1,0.5,3193683,2438992,2438992
28,0.00999999978,2,-0.00999999978,0.00999999978,0.00999999978,1,-0.05000000075,-0.01999999955,0.01999999955,1,-0.00999999978,0.00999999978,0.00499999989,1,-0.05000000075,0.01999999955,0.03529411927,0.42352944613,1,1,2,2,2,20,203601,0,12,6,1,0.5,3307830,193532,193532
29,0.00100000005,1,-0.00999999978,0.00999999978,0.00100000005,1,-0.01999999955,0.00499999989,0.00100000005,1,-0.10000000149,-0.01999999955,0.00999999978,1,-0.15000000596,0.05000000075,1,1,1,1,4,4,4,4,3580258,0,2,4,0,0,3580244,3580244,3580244
30,0.00999999978,2,0.20000000298,-0.10000000149,0.00800000038,1,0.10000000149,-0.01999999955,0.00249999994,1,0.10000000149,-0.5,0.00249999994,1,0.10000000149,0,1,1,1,1,1,1,1,20,3580269,0,30,1,1,-2,3307841,3307838,985109
31,0.00999999978,1,0.10000000149,-0.10000000149,0.00800000038,1,0.10000000149,-0.01999999955,0.00249999994,1,0.10000000149,-0.5,0.00249999994,1,0.10000000149,0,1,1,1,1,1,1,1,15,3580269,0,30,1,1,1,3307837,3307838,3580269
32,0.10000000149,3,-3,1,0.11999999732,3,-2.5,-1,0.00249999994,1,-0.10000000149,-0.5,0.00249999994,1,-0.10000000149,-0.5,1,1,1,1,16,16,16,4,985109,0,15,1,1,0,2024920,2024920,985109
33,0.01999999955,1,0.5,0,0.05999999866,2,1,-0.10000000149,0.00249999994,1,0.10000000149,0,0.00249999994,1,0.10000000149,0,0,0,0,1,4,4,4,8,3580269,0,15,1,1,0.20000000298,3580349,3308184,3580269
34,0.01999999955,1,0.5,0,0.00249999994,1,0.10000000149,0,0.00249999994,1,0.10000000149,0,0.00249999994,1,0.10000000149,0,1,1,1,1,16,16,16,20,3580269,10,15,3,0,0.20000000298,3580348,3308184,3580269
35,0.00999999978,0.10000000149,-0.05000000075,0.00999999978,0.10000000149,3,-0.69999998808,-0.10000000149,0.03999999911,1,-0.10000000149,0.01999999955,0.00999999978,0.10000000149,-0.05000000075,0.00999999978,0.83921575546,0.02352941409,0,1,4,4,4,200,3580329,0,10,3,0,1,3580329,3580351,1715283
36,0.00999999978,1,-0.05000000075,0.00999999978,0.00999999978,1,-0.10000000149,-0.01999999955,0.01999999955,1,-0.10000000149,0.00999999978,0.00499999989,0.10000000149,-0.15000000596,0.05000000075,1,1,1,1,4,4,4,0.75,1966574,6,5,5,1,1,3307832,3307832,3307832
37,0.0120000001,1,-0.1400000006,0.01999999955,0.00800000038,1,0,0,0.01799999923,1,0,0,0.00999999978,0.10000000149,-0.05000000075,0.00999999978,1,1,1,1,4,4,4,5,3580329,2,10,0,1,1,3258612,3258613,3258613
38,0.00999999978,2,-0.0700000003,0.01999999955,0.00999999978,1,0,0,0.01999999955,1,0,0,0.00999999978,0.10000000149,-0.05000000075,0.00999999978,1,1,1,1,4,4,4,10,3580329,2,7,1,1,1.5,3258612,3258613,3258613
39,0.00999999978,1,-0.05000000075,0.00999999978,0.00999999978,1,-0.10000000149,-0.01999999955,0.01999999955,1,-0.10000000149,0.00999999978,0.00999999978,0.10000000149,-0.05000000075,0.00999999978,1,1,1,1,6,4,4,0.75,2132857,10,10,4,1,1,3258614,3258614,3258614
40,0.01099999994,1,-0.07999999821,-0.01999999955,0.00999999978,1,0,0,0.01999999955,1,0,0,0.00999999978,0.10000000149,-0.05000000075,0.00999999978,1,1,1,1,3,3,3,20,3580329,0,10,0,0,1,3580352,3258613,3258613
41,0.0120000001,1,-0.15999999642,0.01999999955,0.00800000038,1,0,0,0.01799999923,1,0,0,0.00999999978,0.10000000149,-0.07999999821,0.00999999978,1,1,1,1,4,4,4,5,3580329,2,20,4,1,1,3258612,3258613,3258613
42,0.00499999989,1,-0.0700000003,0.05000000075,0.00999999978,1,-0.10000000149,-0.01999999955,0.01999999955,1,-0.10000000149,0.00999999978,0.00499999989,1,-0.15000000596,0.05000000075,1,1,1,1,4,4,4,8,3580269,0,20,12,1,1,3258605,1715283,1715283
43,0.00499999989,3,-0.01999999955,0,0.05999999866,2,-1,-0.10000000149,0.00249999994,1,-0.10000000149,0.20000000298,0.00499999989,1,-0.10000000149,0,0.85098046064,0.85098046064,0.85098046064,1,4,4,4,8,3580269,0,20,8,0,5,3580330,1720408,3308184
44,0.0001,1,-0.0001,0,0.0001,2,-0.00999999978,-0.00999999978,0.0001,3,-0.01999999955,0.00999999978,0.00200000009,0.10000000149,-0.00999999978,0.00999999978,0.43137258291,0.71372550726,0.95294123888,1,8,8,8,8,2132857,0,5,2,1,3,3182452,3182452,984062
45,0.00499999989,3,-0.01999999955,0,0.05999999866,2,-1,-0.10000000149,0.00249999994,1,-0.10000000149,0.20000000298,0.00249999994,1,-0.05000000075,0,0.22352942824,0.41176474094,0.91372555494,1,4,4,4,1,3580269,0,15,6,1,10,3580261,1720408,3580244
46,0.01999999955,1,-0.05000000075,0.00999999978,0.01999999955,1,-0.10000000149,-0.01999999955,0.00999999978,1,-0.10000000149,0.00999999978,0.00499999989,0.10000000149,-0.15000000596,0.05000000075,0.05882353336,0.20784315467,0.63137257099,1,1,1,1,0.5,3580329,6,15,4,1,0.5,3258608,3258608,1715283
47,0.00999999978,3,-0.01999999955,0,0.05999999866,2,-1,-0.10000000149,0.00249999994,1,-0.10000000149,0.20000000298,0.01999999955,1,-0.05000000075,0,0.85098046064,0.85098046064,0.85098046064,1,4,4,4,16,3580269,0,1,0,0,15,3580330,1720408,3308184
48,0.01999999955,1,-0.01999999955,0.01999999955,0.00499999989,1,-0.05000000075,-0.02999999933,0.00999999978,1,-0.10000000149,0.00999999978,0.00499999989,0.10000000149,-0.01999999955,0.05000000075,0.30980393291,0.56862747669,0.71764707565,1,2,2,2,2,3580329,0.5,1,12,1,2,3258608,3258608,1715283
49,0.03999999911,2,-0.01499999966,0.05000000075,0.00999999978,1,-0.10000000149,-0.01999999955,0.01999999955,1,-0.10000000149,0.00999999978,0.01999999955,1,-0.05000000075,0.05000000075,0.78823536634,0.91372555494,1,1,4,4,4,2,3580269,0,2,6,1,1,3258609,3580331,3580331
50,0.03999999911,1,-0.01999999955,0.05000000075,0.00999999978,1,-0.10000000149,-0.01999999955,0.01999999955,1,-0.10000000149,0.00999999978,0.01999999955,1,-0.05000000075,0.05000000075,1,1,1,1,4,4,4,16,3580269,1,1.5,4,1,2,3258605,1715283,1715283
51,0.00499999989,3,-0.01999999955,0,0.05999999866,2,-1,-0.10000000149,0.00249999994,1,-0.10000000149,0.20000000298,0.00499999989,1,-0.10000000149,0,0.85098046064,0.85098046064,0.85098046064,1,4,4,4,8,3580269,0,10,8,0,5,3580330,1720408,3308184
52,0.00499999989,1,-0.05000000075,0.00999999978,0.00499999989,1,-0.10000000149,-0.01999999955,0.00999999978,1,-0.10000000149,0.00999999978,0.00499999989,0.10000000149,-0.15000000596,0.05000000075,0.30980393291,0.56862747669,0.71764707565,1,2,2,2,1,3580329,3,10,12,1,0.5,3258608,3258608,1715283
53,0.00499999989,1,-0.0700000003,0.05000000075,0.00999999978,1,-0.10000000149,-0.01999999955,0.01999999955,1,-0.10000000149,0.00999999978,0.00499999989,1,-0.15000000596,0.05000000075,1,1,1,1,4,4,4,8,3580269,0,10,12,1,1,3258605,1715283,1715283
54,0.00499999989,1,-0.0700000003,0.05000000075,0.00999999978,1,-0.10000000149,-0.01999999955,0.01999999955,1,-0.10000000149,0.00999999978,0.00499999989,1,-0.15000000596,0.05000000075,0.21176472306,0.46274513006,0.63921570778,1,4,4,4,16,3580269,0,10,12,1,0.5,3258605,1715283,1715283
