TaskName_lang,Description_lang,ID,CriteriaTreeID,Field_12_0_0_63534_004,ProgressContributionAmount,RepetitionContributionDampeningCurve,Supersedes,Field_12_0_0_63534_008
"Collect 20 Clams on the Neighborhood Beach","Collect 20 Clams on the Neighborhood Beach",22,210418,91024,300,87592,0,1
"Collect Odd Glob's of Wax","Collect 20 Odd Glob's of Wax",23,210635,91023,300,87592,0,1
"Complete Level 5 of Awakening the Machine","Complete Level 5 of Awakening the Machine",24,210663,91023,300,0,0,0
"Complete Level 10 of Awakening the Machine","Complete Level 10 of Awakening the Machine",25,210664,91023,300,0,24,0
"Complete Level 15 of Awakening the Machine","Complete Level 15 of Awakening the Machine",26,210665,91023,300,0,25,0
"Complete Level 20 of Awakening the Machine","Complete Level 20 of Awakening the Machine",27,210666,91023,300,0,26,0
"Defeat Waxtail Kobolds","Defeat 20 Waxtail Kobolds",28,210667,91023,300,87592,0,1
"Defeat Sparklit Kobolds","Defeat 20 Sparklit Kobolds",29,210899,91023,300,87592,0,1
"Defeat Glumtooth Kobolds","Defeat 20 Glumtooth Kobolds",30,210905,91023,300,87592,0,1
"Defeat Flickerflame Kobolds","Defeat 20 Flickerflame Kobolds",31,210916,91023,300,87592,0,1
"Defeat Brightrock Kobolds","Defeat 20 Brightrock Kobolds",32,210927,91023,300,87592,0,1
"Defeat Kobolds in The Ringing Deeps","Defeat 100 Kobolds in The Ringing Deeps",33,210933,91023,300,87592,0,1
"Defeat Undercrawlers in The Ringing Deeps","Defeat 20 Undercrawlers in The Ringing Deeps",34,210978,91023,300,87592,0,1
"Defeat Deepflayers","Defeat 20 Deepflayers in The Ringing Deeps",35,210980,91023,300,87592,0,1
"Defeat Enveloping Bloodeaters","Defeat 20 Enveloping Bloodeaters",36,210988,91023,300,87592,0,1
"Complete 5 Dungeons in The Ringing Deeps","Complete 5 Dungeons in The Ringing Deeps",37,210990,91022,300,87592,0,1
"Harvest 20 Ore in The Ringing Deeps","Harvest 20 Ore in The Ringing Deeps",38,211019,91024,300,87592,0,1
"Harvest 20 Herbs in The Ringing Deeps","Harvest 20 Herbs in The Ringing Deeps",39,211029,91024,300,87592,0,1
"Harvest 20 Skins or Hides in The Ringing Deeps","Harvest 20 Skins or Hides in The Ringing Deeps",40,211045,91024,300,87592,0,1
"Kill Hozen","Kill hozen in Kun-Lai Summit.",41,216310,91022,45,87592,0,0
"Complete Quests","Complete quests in Kun-Lai Summit.",42,216312,91023,90,87592,0,0
"Loot Luckydos","Loot luckydos in Kun-Lai Summit or the neighborhood.",43,216314,91022,45,87592,0,0
"Craft Work Orders","Craft 5 Work Orders for Grummles",44,0,91024,300,87592,0,1
"Gather Ore","Gather 20 Ore",45,0,91024,300,87592,0,1
"Gather Herbs","Gather 10 Herbs",46,0,91024,300,87592,0,1
"Catch 20 Fish in The Ringing Deeps","Catch 20 Fish in The Ringing Deeps",47,211126,91024,300,87592,0,1
"Collect 20 Lumber in The Ringing Deeps","Collect 20 Lumber in The Ringing Deeps",48,211139,91024,300,87592,0,1
"Complete 5 Delves in The Ringing Deeps","Complete 5 Delves in The Ringing Deeps",49,211141,91022,300,87592,0,1
"Complete 5 World Quests in The Ringing Deeps","Complete 5 World Quests in The Ringing Deeps",50,211148,91023,300,87592,0,1
"Relight 10 Lanterns in the Neighborhood","Relight 10 Lanterns in the Neighborhood",51,211150,91024,300,87592,0,0
"Collect 10 Globs of Dropped Wax","Collect 10 Globs of Dropped Wax in the Neighborhood",52,211152,91024,300,87592,0,0
"Collect 20 Draenei Archaeology Fragments in Zangarmarsh","Collect 20 Draenei Archaeology Fragments in Zangarmarsh",53,211154,91024,300,87592,0,1
"Defeat 20 Gyreworms in Deepholm","Defeat 20 Gyreworms in Deepholm",54,211156,91023,300,87592,0,1
"Defeat 20 Rockslice and Jaspertip Clawscythes in Deepholm","Defeat 20 Rockslice and Jaspertip Clawscythes in Deepholm",55,211161,91023,300,87592,0,1
"Defeat 20 Twilight Ogres in Deepholm","Defeat 20 Twilight Ogres in Deepholm",56,211169,91023,300,87592,0,1
"Defeat 20 Twilight Cultists in Deepholm","Defeat 20 Twilight Cultists in Deepholm",57,211174,91023,300,87592,0,1
"Defeat 20 Stone or Needlerock Troggs in Deepholm","Defeat 20 Stone or Needlerock Troggs in Deepholm",58,211187,91023,300,87592,0,1
"Defeat 20 Fungal Terrors or Behemoths in Deepholm","Defeat 20 Fungal Terrors or Behemoths in Deepholm",59,211202,91023,300,87592,0,1
"Defeat 20 Stone Drakes in Deepholm","Defeat 20 Stone Drakes in Deepholm",60,211205,91023,300,87592,0,1
"Collect 20 Albino Cavefish in Deepholm","Collect 20 Albino Cavefish in Deepholm",61,211209,91023,300,87592,0,1
"Collect 20 Lumber in Deepholm","Collect 20 Lumber in Deepholm",62,211211,91024,300,87592,0,1
"Complete Mythic+ Dungeons",,63,212060,91024,20,87592,0,1
"Kill Raid Bosses",,64,212062,91024,20,87592,0,1
"Earn Honor",,65,212064,91024,20,87592,0,1
"Complete World Quests",,66,214555,91024,20,87592,0,1
"Complete the Midnight Campaign","Complete the Midnight Campaign.",67,212076,91022,300,0,0,0
"Saltheril's Soiree","Attend Saltheril's Soiree and complete a Fortify the Runestones quest in Eversong Woods.",68,212082,91022,45,0,0,0
"Saltheril's Soiree Dilettante","Attend the S Saltheril's Soiree and complete weekly favors for its attendees.",69,212089,91022,45,0,0,0
"Silvermoon Court - Center of Attention","Attend the Silvermoon Court and complete public objectives.",70,212091,91022,45,0,0,0
"Midnight Dungeons","Complete Dungeons in Midnight.",71,212208,92099,135,87592,0,0
"Gather Herbs, Ores, Skins, or Fish","Gather Herbs, Ores, Skins, or Fish in Midnight zones.",73,212222,91022,45,87592,0,0
"Deep Diver","Complete Abyss Angler events in Zul'Aman.",74,212255,92099,135,0,0,0
"Abundantly Effective","Achieve a score of 25,000 points or greater in any Abundance event.",75,212257,91739,250,0,0,0
"Plenty of Abundance","Complete Abundance events in any Midnight zone.",76,212259,91739,270,0,0,0
"Legends of the Harronir","Complete a ""Legends of the Harronir"" event in Harandar.",77,212261,91023,90,0,0,0
"Slay Lightbloom creatures","Kill Lightbloom creatures threatening Azeroth in wherever they may be found.",78,214538,91022,45,0,0,0
"Slay Lightbloom creatures","Kill Lightbloom creatures threatening Azeroth in wherever they may be found.",79,214541,91023,90,0,78,0
"Slay Lightbloom creatures","Kill Lightbloom creatures threatening Azeroth in wherever they may be found.",80,214544,92099,135,0,79,0
"World Quests","Complete World Quests in Eversong Woods.",81,212066,91023,90,87592,0,0
"Kill Rares","Kill Rare or Rare Elites in Eversong Woods.",82,214557,91023,90,87592,0,0
"Gather Stormarion Cores","Gather Stormarion Cores in Voidstorm.",83,214559,91023,90,0,0,0
"Singularity Anchor","Defend the Singularity Anchor in Voidstorm.",84,214561,91023,90,87592,0,0
"Latent Arcana","Collect Latent Arcana in Eversong Woods.",85,214680,91022,45,87592,0,0
"Champion a Faction Envoy","Champion a Faction Envoy in the Forbidden Reach.",86,214735,91024,20,0,0,0
"Daily Quests","Complete Daily Quests in the Forbidden Reach.",87,214884,91023,90,0,0,0
"Zskera Vault Doors","Open Zskera Vault Doors in the Forbidden Reach.",88,214992,91022,45,87592,0,0
"Kill Rares","Kill Rares in the Forbidden Reach.",89,215007,91023,90,87592,0,0
"Complete Froststone Vault Primal Storms","Complete Froststone Vault Primal Storms in the Forbidden Reach.",90,215020,91023,90,87592,0,0
"Gather Herbs, Ores, Skins, or Fish","Gather Herbs, Ores, Skins, or Fish in the Forbidden Reach.",91,215423,91022,45,87592,0,0
"Complete a Pet Battle World Quest","Complete a pet battle world quest in the in the Forbidden Reach.",92,215469,91022,45,87592,0,0
"Skyriding Races","Complete skyriding races in the Forbidden Reach.",93,215575,91024,20,87592,0,0
"Subdue the War Creche","Complete the World Quest ""The War Creche"" in the Forbidden Reach.",94,215577,91023,90,87592,0,0
"Kill a Profession Rare","Kill a rare or rare elite creature summoned via a profession item in the Forbidden Reach.",95,215666,91739,250,0,0,0
"Find Treasures from Sealed Scrolls","Loot the treasures revealed by using Sealed Scrolls from the Forbidden Reach.",96,215668,91022,45,87592,0,0
"Kill Creatures","Kill Creatures in the Forbidden Reach.",97,215670,91022,45,87592,0,0
"Loot a Forbidden Hoard","Loot a Forbidden Hoard in the Forbidden Reach.",98,215672,91022,45,87592,0,0
"Defeat the Sha of Anger","Defeat the Sha of Anger in Kun-Lai Summit.",99,216306,92099,135,0,0,0
"Gather Resources","Gather Herbs, Ores, Skins, or Fish in Kun-Lai Summit.",100,216319,91023,90,87592,0,0
"Harvest Lumber","Harvest lumber in Kun-Lai Summit.",101,216323,91023,90,87592,0,0
"Defeat Bosses","Clear Boss Encounters in Kun-Lai Summit Dungeons and Raids.",102,216327,91739,250,87592,0,0
"Eat Kafa'kota Berries","Eat kafa'kota berries on Kota Peak or in your neighborhood.",103,216329,91022,45,87592,0,0
"Honorable Kills","Earn honorable kills in Kun-Lai Summit.",104,216334,91023,90,87592,0,0
"Harvest Lumber","Harvest Lumber in the Forbidden Reach.",105,216352,91023,90,87592,0,0
"Complete Delves",,106,216354,91024,20,87592,0,1
"Perk Up Sleepy Residents","Perk up sleepy residents in the neighborhood.",107,216664,91022,45,87592,0,0
"Trade Berries","Trade kafa'kota berries to the neighborhood kafa vendor.",108,216671,91022,45,87592,0,0
"Defeat the Sha of Anger","Defeat the Sha of Anger in Kun-Lai Summit.",109,216783,91022,45,87592,0,0
"Complete Weekly Neighborhood Quests","Complete Weekly Quests in the Neighborhood for the visiting dracthyr.",110,216872,91023,90,87592,0,0
"Decoration Time","Impress the Silvermoon visitors by placing decor in either your house or your garden.",111,216890,91023,90,0,0,0
"Decoration Time","Impress the Silvermoon visitors by placing decor in either your house or your garden.",112,216892,91023,90,0,111,0
"Decoration Time","Impress the Silvermoon visitors by placing decor in either your house or your garden.",113,216894,91023,90,0,112,0
"Acquire Decor","Impress the Silvermoon visitors by acquiring new decor for your house or your garden.",114,216898,91023,90,0,0,0
"Transport Luckydos","Transport luckydos to the neighborhood climb training base camp.",115,216957,91022,45,87592,0,0
"Collect Berries","Collect kafa'kota berries on the neighborhood training climb.",116,216959,91024,20,87592,0,0
"Ride Out an Overkafanated Denizen of the Peak","Tire out an overkafanted flier by riding it in the neighborhood.",117,216961,91024,20,87592,0,0
"Wounded Artists","Heal Wounded Artists who are visiting the neighborhood through magic, or alchemy.",118,217031,91022,45,87592,0,0
"Kill Rares","Kill Rares in Mechagon.",120,217061,91023,90,87592,0,0
"Daily Quests","Complete Daily Quests in Mechagon.",121,217063,91023,90,0,0,0
"King Mechagon","Defeat King Mechagon in Operation: Mechagon.",122,217068,91023,90,0,0,0
"HK-8 Aerial Oppression Unit","Defeat HK-8 Aerial Oppression Unit in Operation: Mechagon.",123,217070,91023,90,0,0,0
"Consumate Constructor","Complete construction projects in Mechagon.",124,217072,91022,45,87592,0,0
"Tinkering with the K1NG","Craft Junkyard Tinkering items with Pascal K1NG.",125,217074,91023,90,87592,0,0
"Harvest Lumber","Harvest Lumber in Mechagon.",126,217076,91023,90,87592,0,0
"Gather Herbs, Ores, Skins, or Fish","Gather Herbs, Ores, Skins, or Fish in Mechagon.",127,217078,91022,45,87592,0,0
"Rusty Regicide","Defeat The Rusty Prince in the Alternate Timeline in Mechagon.",128,217082,91023,90,0,0,0
"A Toast!","Toast the Resistance in Rustbolt in Mechagon.",129,217084,91024,20,0,0,0
"Kill Creatures","Kill Creatures in Mechagon.",130,217086,91022,45,87592,0,0
"Pet Battle World Quest","Complete a pet battle world quest in Mechagon.",131,217484,91022,45,87592,0,0
"Red Ones Go Faster","Paint your Xiwyllag ATV or Mechanocat a different color.",132,217486,91023,90,0,0,0
"Reclamation Project","Assist in the reconstruction and defense of the Reclamation Rig in Mechagon.",133,217489,92099,135,87592,0,0
"Home: Be a Good Neighbor","Perform helpful & friendly deeds in your neighborhood.",134,214565,91023,90,87592,0,0
"Home: Return Lost Mecha-Hens","Find and return Miscalibrated Hens.",135,217689,92099,135,0,0,0
"Home: Mechagnome Transportation","Test mechagnome air jets.",136,217691,91023,90,87592,0,0
"Home: Beach Scrap","In your neighborhood, help recyclers collect scrap metal from the beaches.",137,218132,92099,135,0,0,0
"Gather Herbs, Ores, Skins, or Fish","Gather Herbs, Ores, Skins, or Fish in Outland.",138,218431,91022,45,87592,0,0
"Defeat Pathaleon the Calculator","Defeat Pathaleon the Calculator in the Mechanar Dungeon.",139,218435,91023,90,0,0,0
"Defeat Warp Splinter","Defeat Warp Splinter in the Botanica Dungeon.",140,218437,91023,90,0,0,0
"Defeat Harbinger Skyriss","Defeat Harbinger Skyriss in the Arcatrasz Dungeon.",141,218439,91023,90,0,0,0
"Ethereum Extermination","Defeat members of the Ethereum and their allies in outdoor zones in Outland.",142,218548,91023,90,87592,0,0
"Harvest Lumber","Harvest Lumber in the Midnight zones.",143,219644,91023,90,87592,0,0
"Sunfury Slaying","Defeat members of the Sunfury in Netherstorm.",144,220010,91023,90,87592,0,0
"Don't Leave Them Wanting","Complete Wanted quests for the Consortium in Outland.",145,220012,91023,90,87592,0,0
"Defeat Nexus-Prince Shaffar","Defeat Nexus-Prince Shaffar in the Mana Tombs Dungeon.",146,220024,91023,90,0,0,0
"Defeat Yor","Defeat Yor in the Mana Tombs Dungeon.",147,220026,91739,250,0,0,0
"Repetition is the Mother of Learning.","Complete repeatable reputation quests for the Consortium in Outland.",148,220115,91022,45,87592,0,0
"Blade of the Skyguard","Defend the Skyguard assault at Bash'ir Landing in Blades Edge Mountain.",149,220183,91739,250,87592,0,0
"Bash'ir Bopping","Defeat Bash'ir or one of his lieutenants in Bash'ir Landing in Blades Edge Mountain.",150,220206,91022,45,87592,0,0
"Gather Herbs, Ores, Skins, or Fish","Gather Herbs, Ores, Skins, or Fish in Zaralek Cavern.",151,221088,91022,45,87592,0,0
"World Quests","Complete World Quests in Zaralek Cavern.",152,221096,91023,90,87592,0,0
"Researchers Under Fire","Complete the Researcher Under Fire event in Zaralek Cavern.",153,221098,91023,90,87592,0,0
"Defeat Sarkareth","Defeat Sarkareth in Aberrus, the Shadowed Crucible.",155,221104,91023,90,0,0,0
"Underground Pet Battling","Complete pet battle world quests in Zaralek Cavern with at least 1 elemental pet.",156,221164,91024,20,87592,0,0
"Reputation is Everything","Earn Reputation with Loamm Niffen in Zaralek Cavern.",157,221174,91023,90,87592,0,0
Sniffenseeking,"Loot 2 chests while exploring caves with Myritt in Zaralek Cavern.",158,221179,91023,90,87592,0,0
"Like Getting Blood from a Stone","Barter with Ponzo for a Bartered Dig Map then use it in Zaralek Cavern.",159,221186,91023,90,0,0,0
"Slow and Steady wins the race","Complete quests for Briggul in Glimmerogg in Zaralek Cavern.",160,221188,91022,45,87592,0,0
"Kill Rares","Kill Rare or Rare Elites in Zaralek Cavern.",161,221190,91023,90,87592,0,0
"Skyriding: Underground","Complete skyriding races in the Zaralek Cavern.",162,221192,91024,20,87592,0,0
