Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Evoker	Adventurer	Traveler	Item	Consumable	Gem1	Gem2	Gem3	Health	DamageReplaceStat	DamageSecondary	Mana Consumable
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.79122454	7000	1.296176691	2.093823886	3	6852.185783	3.014659057	3.014659057	7000
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.97005826	7000	1.296176691	2.093823886	3	6948.298139	3.181103305	3.181103305	7000
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.12569184	8500	1.296176691	2.093823886	3	7034.484447	3.34705142	3.34705142	8500
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.28756817	8500	1.296176691	2.093823886	3	7122.385108	3.519695615	3.519695615	8500
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.45587008	8500	1.296176691	2.093823886	3	7212.133056	3.699344888	3.699344888	8500
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.63078901	8500	1.296176691	2.093823886	3	8349.047119	3.886323822	3.886323822	8500
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.81252539	8500	1.296176691	2.093823886	3	8459.818708	4.080973411	4.080973411	8500
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.001289	9000	1.506731151	2.43395032	3.245267094	8574.880238	4.184476145	4.184476145	9000
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.19729938	9000	1.506731151	2.43395032	3.245267094	8694.365341	4.291456403	4.291456403	9000
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.40078623	9000	1.506731151	2.43395032	3.245267094	8818.413848	4.402058517	4.402058517	9000
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.61198987	9000	1.506731151	2.43395032	3.245267094	8947.172055	4.516433233	4.516433233	9000
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.83116172	9000	1.506731151	2.43395032	3.245267094	9080.793008	4.634738038	4.634738038	9000
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.05856475	10000	1.506731151	2.43395032	3.245267094	9219.436798	4.757137502	4.757137502	10000
37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.29447403	10000	1.506731151	2.43395032	3.245267094	9363.270879	4.88380364	4.88380364	10000
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.53917725	10000	1.506731151	2.43395032	3.245267094	9512.470395	5.014916295	5.014916295	10000
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.79297532	10000	1.506731151	2.43395032	3.245267094	9667.21853	5.150663542	5.150663542	10000
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.05618295	10000	1.506731151	2.43395032	3.245267094	9827.706877	5.291242107	5.291242107	10000
41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.32912928	10000	2.900411323	3.867215097	4.834018872	9994.135821	5.436857819	5.436857819	10000
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.61215861	10000	2.900411323	3.867215097	4.834018872	11437.55432	5.587726077	5.587726077	10000
43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.90563101	10000	2.900411323	3.867215097	4.834018872	11638.87141	5.744072354	5.744072354	10000
44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.20992314	10000	2.900411323	3.867215097	4.834018872	11847.61205	5.906132714	5.906132714	10000
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.52542901	10000	2.900411323	3.867215097	4.834018872	12064.04606	6.074154373	6.074154373	10000
46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.85256079	15000	2.900411323	3.867215097	4.834018872	12288.45574	6.248396278	6.248396278	15000
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.19174972	15000	2.900411323	3.867215097	4.834018872	12521.1364	6.429129729	6.429129729	15000
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.54344696	15000	2.900411323	3.867215097	4.834018872	12762.39704	6.616639029	6.616639029	15000
49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.90812465	15000	2.900411323	3.867215097	4.834018872	13012.56098	6.811222174	6.811222174	15000
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.28627684	15000	2.900411323	3.867215097	4.834018872	13271.96657	7.013191579	7.013191579	15000
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.67842064	15000	2.961984533	3.949312711	4.936640889	13540.96791	7.245236689	7.245236689	15000
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.08509729	15000	2.961984533	3.949312711	4.936640889	13819.93565	7.486263534	7.486263534	15000
53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.5068734	15000	2.961984533	3.949312711	4.936640889	15676.95309	7.736684056	7.736684056	15000
54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.94434221	15000	2.961984533	3.949312711	4.936640889	16043.02841	7.996930663	7.996930663	15000
55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.3981249	15000	2.961984533	3.949312711	4.936640889	16390.09735	8.267457349	8.267457349	15000
56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.86887202	20000	2.961984533	3.949312711	4.936640889	16750.13817	8.54874088	8.54874088	20000
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.35726494	20000	2.961984533	3.949312711	4.936640889	17123.67154	8.841282046	8.841282046	20000
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.86401747	20000	2.961984533	3.949312711	4.936640889	17511.24288	9.145606988	9.145606988	20000
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.38987746	20000	2.961984533	3.949312711	4.936640889	17913.42362	9.462268607	9.462268607	20000
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.93562857	20000	2.961984533	3.949312711	4.936640889	20210.36557	9.791848049	9.791848049	20000
61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.50209212	20000	3.692250878	4.92300117	6.153751463	20688.67645	10.24632943	10.24632943	20000
62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.09012904	20000	3.692250878	4.92300117	6.153751463	21185.20355	10.72032786	10.72032786	20000
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.7006419	20000	3.692250878	4.92300117	6.153751463	21700.70901	11.21482556	11.21482556	20000
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.33457713	20000	3.692250878	4.92300117	6.153751463	24257.4458	11.73085709	11.73085709	20000
65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.99292729	25000	3.692250878	4.92300117	6.153751463	24863.88062	12.2695124	12.2695124	25000
66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.63317828	25000	3.692250878	4.92300117	6.153751463	25489.71826	12.81174629	12.81174629	25000
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.25244597	25000	3.692250878	4.92300117	6.153751463	26135.59549	13.35570173	13.35570173	25000
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.84780497	25000	3.692250878	4.92300117	6.153751463	29035.70567	13.89939694	13.89939694	25000
69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.41630702	25000	3.692250878	4.92300117	6.153751463	29781.0757	14.44073254	14.44073254	25000
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.95500085	22500	3.692250878	4.92300117	6.153751463	30550.5078	14.97750043	14.97750043	22500
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.46095337	22500	3.692250878	4.92300117	6.153751463	37980.53986	18.27657202	18.27657202	22500
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.93127191	22500	3.692250878	4.92300117	6.153751463	38359.01098	19.07428435	19.07428435	22500
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.36312754	22500	3.692250878	4.92300117	6.153751463	41156.69799	19.86331411	19.86331411	22500
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.75377906	22500	3.692250878	4.92300117	6.153751463	41554.73916	20.63995639	20.63995639	22500
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.10059761	45000	3.692250878	4.92300117	6.153751463	44417.91896	21.40039841	21.40039841	45000
76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.40109148	45000	3.692250878	4.92300117	6.153751463	44833.94253	22.14074585	22.14074585	45000
77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.70439828	45000	3.692250878	4.92300117	6.153751463	47768.20817	22.89307879	22.89307879	45000
78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.01054433	45000	3.692250878	4.92300117	6.153751463	48216.09961	23.65755677	23.65755677	45000
79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.31955622	45000	3.692250878	4.92300117	6.153751463	51229.93392	24.43434123	24.43434123	45000
80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.63146077	37500	3.992322002	5.444075457	6.895828912	51710.80772	25.22359557	25.22359557	37500
81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.52062962	37500	3.992322002	5.444075457	6.895828912	72635.16578	32.27577686	32.27577686	37500
82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.16655865	37500	3.992322002	5.444075457	6.895828912	87887.80652	38.6430551	38.6430551	37500
83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.59916141	37500	3.992322002	5.444075457	6.895828912	105338.8434	46.2096255	46.2096255	37500
84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.92804882	37500	3.992322002	5.444075457	6.895828912	126556.2539	55.19325913	55.19325913	37500
85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.79161239	112500	3.992322002	5.444075457	6.895828912	171634.8751	76.48614014	76.48614014	37500
86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.63068195	112500	3.992322002	5.444075457	6.895828912	189189.007	86.53574013	86.53574013	37500
87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.9800098	112500	3.992322002	5.444075457	6.895828912	206584.2977	100.2683322	100.2683322	37500
88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.9800098	112500	3.992322002	5.444075457	6.895828912	210416.5432	100.2683322	100.2683322	37500
89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115.0500273	112500	3.992322002	5.444075457	6.895828912	228502.2171	113.2333686	113.2333686	37500
90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.0804863	187500	15.33355221	19.93361787	26.06703876	248126.3802	127.8034741	127.8034741	187500
