Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Evoker	Adventurer	Traveler
46	0	11440	0	11440	11440	11440	11440	11440	0	0	11440	0	11440	0	50
47	0	12240	0	12240	12240	12240	12240	12240	0	0	12240	0	12240	0	50
48	0	13100	0	13100	13100	13100	13100	13100	0	0	13100	0	13100	0	50
49	0	14015	0	14015	14015	14015	14015	14015	0	0	14015	0	14015	0	50
50	0	15000	0	15000	15000	15000	15000	15000	0	0	15000	0	15000	0	50
51	0	15435	0	15435	15435	15435	15435	15435	0	0	15435	0	15435	0	50
52	0	15885	0	15885	15885	15885	15885	15885	0	0	15885	0	15885	0	50
53	0	16350	0	16350	16350	16350	16350	16350	0	0	16350	0	16350	0	50
54	0	16825	0	16825	16825	16825	16825	16825	0	0	16825	0	16825	0	50
55	0	17320	0	17320	17320	17320	17320	17320	0	0	17320	0	17320	0	50
56	0	17825	0	17825	17825	17825	17825	17825	0	0	17825	0	17825	0	50
57	0	18345	0	18345	18345	18345	18345	18345	0	0	18345	0	18345	0	50
58	0	18880	0	18880	18880	18880	18880	18880	0	0	18880	0	18880	0	50
59	0	19430	0	19430	19430	19430	19430	19430	0	0	19430	0	19430	0	50
60	0	20000	0	20000	20000	20000	20000	20000	0	0	20000	0	20000	0	50
61	0	20825	0	20825	20825	20825	20825	20825	0	0	20825	0	20825	0	50
62	0	21685	0	21685	21685	21685	21685	21685	0	0	21685	0	21685	0	50
63	0	22585	0	22585	22585	22585	22585	22585	0	0	22585	0	22585	0	50
64	0	23520	0	23520	23520	23520	23520	23520	0	0	23520	0	23520	0	50
65	0	24490	0	24490	24490	24490	24490	24490	0	0	24490	0	24490	0	50
66	0	25505	0	25505	25505	25505	25505	25505	0	0	25505	0	25505	0	50
67	0	26560	0	26560	26560	26560	26560	26560	0	0	26560	0	26560	0	50
68	0	27660	0	27660	27660	27660	27660	27660	0	0	27660	0	27660	0	50
69	0	28805	0	28805	28805	28805	28805	28805	0	0	28805	0	28805	0	50
70	0	30000	0	30000	30000	30000	30000	30000	0	0	30000	0	30000	0	50
71	0	31570	0	31570	31570	31570	31570	31570	0	0	31570	0	31570	0	50
72	0	33225	0	33225	33225	33225	33225	33225	0	0	33225	0	33225	0	50
73	0	34965	0	34965	34965	34965	34965	34965	0	0	34965	0	34965	0	50
74	0	36800	0	36800	36800	36800	36800	36800	0	0	36800	0	36800	0	50
75	0	38725	0	38725	38725	38725	38725	38725	0	0	38725	0	38725	0	50
76	0	40755	0	40755	40755	40755	40755	40755	0	0	40755	0	40755	0	50
77	0	42895	0	42895	42895	42895	42895	42895	0	0	42895	0	42895	0	50
78	0	45140	0	45140	45140	45140	45140	45140	0	0	45140	0	45140	0	50
79	0	47510	0	47510	47510	47510	47510	47510	0	0	47510	0	47510	0	50
80	0	50000	0	50000	50000	50000	50000	50000	0	0	50000	0	50000	0	50
81	0	58730	0	58730	58730	58730	58730	58730	0	0	58730	0	58730	0	50
82	0	68985	0	68985	68985	68985	68985	68985	0	0	68985	0	68985	0	50
83	0	81030	0	81030	81030	81030	81030	81030	0	0	81030	0	81030	0	50
84	0	95180	0	95180	95180	95180	95180	95180	0	0	95180	0	95180	0	50
85	0	111800	0	111800	111800	111800	111800	111800	0	0	111800	0	111800	0	50
86	0	131325	0	131325	131325	131325	131325	131325	0	0	131325	0	131325	0	50
87	0	154255	0	154255	154255	154255	154255	154255	0	0	154255	0	154255	0	50
88	0	181190	0	181190	181190	181190	181190	181190	0	0	181190	0	181190	0	50
89	0	212830	0	212830	212830	212830	212830	212830	0	0	212830	0	212830	0	50
90	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
91	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
92	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
93	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
94	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
95	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
96	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
97	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
98	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
99	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
100	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
101	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
102	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
103	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
104	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
105	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
106	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
107	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
108	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
109	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
110	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
111	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
112	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
113	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
114	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
115	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
116	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
117	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
118	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
119	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
120	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
121	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
122	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
123	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0	50
