ID,TabardAngle,TabardDampening,ExpectedWeaponSize,Angle_0,Angle_1,Angle_2,Angle_3,Angle_4,Dampening_0,Dampening_1,Dampening_2,Dampening_3,Dampening_4,TailAngle_0,TailAngle_1,TailDampening_0,TailDampening_1
26,0,0,1.29999995232,5,-3,0,0,0,0.69999998808,0.60000002384,0.44999998808,0.30000001192,0,-20,0,0.30000001192,0.30000001192
27,0,0.30000001192,1.60000002384,-6,-3,8,15,0,0.60000002384,0.80000001192,0.69999998808,0.60000002384,0,0,0,0,0
28,0,0.64999997616,0.34999999404,-4,0,0,8,16,0.69999998808,0.69999998808,0.69999998808,0.60000002384,0.60000002384,0,0,0,0
30,0,0.5,0.34999999404,-4,0,-4,10,20,0.89999997616,0.89999997616,0.80000001192,0.60000002384,0.5,0,0,0,0
31,0,0,0.34999999404,-3,4,2,2,8,0.60000002384,0.60000002384,0.5,0.5,0.40000000596,0,0,0,0
32,-5,0.69999998808,0.89999997616,2,-6,7.5,25,25,0.94999998808,0.94999998808,0.94999998808,0.80000001192,0.5,0,0,0,0
33,0,0.69999998808,0.89999997616,-3,-3,2.5,10,10,0.30000001192,0.34999999404,0.34999999404,0.25,0.25,0,0,0,0
34,0,0,0.80000001192,-4,-2,-5,-5,6,0.80000001192,0.80000001192,0.60000002384,0.30000001192,0.30000001192,0,0,0,0
35,0,0.30000001192,0.30000001192,10,-8,0,0,0,0.5,0.5,0.40000000596,0.40000000596,0,0,0,0,0
36,0,0.5,0.34999999404,-2,0,5,10,10,0.69999998808,0.60000002384,0.60000002384,0.30000001192,0,0,0,0,0
37,0,0.20000000298,0.5,-13,-13,14,19,0,0.40000000596,0.5,0.56000000238,0.40000000596,0,0,0,0,0
38,0,0,0.5,0,0,0,0,0,0.25,0.25,0.20000000298,0.20000000298,0.40000000596,0,0,0,0
39,0,0.30000001192,0.80000001192,-15,-15,28,40,0,0.94999998808,0.80000001192,0.80000001192,0.5,0.5,0,0,0,0
40,0,0.30000001192,0.80000001192,0,0,0,0,0,0.40000000596,0.30000001192,0.20000000298,0,0,0,0,0,0
42,0,0.40000000596,0.60000002384,0,0,15,20,0,0.80000001192,0.80000001192,0.69999998808,0.5,0,0,0,0,0
43,0,0.5,1.25,0,-4,7,20,8,0.63999998569,0.63999998569,0.56000000238,0.40000000596,0,0,0,0,0
45,0,0.69999998808,0.89999997616,-5,-4,10,20,20,0.69999998808,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
46,0,0.80000001192,0.34999999404,-3,-3,5,-2,20,0.98000001907,0.94999998808,0.94999998808,0.80000001192,0.69999998808,0,0,0,0
47,0,0.94999998808,0.34999999404,-3,-3,0,0,20,0.98000001907,0.94999998808,0.94999998808,0.80000001192,0.69999998808,0,0,0,0
49,3,0.60000002384,0.34999999404,0,0,15,15,10,0.94999998808,0.80000001192,0.80000001192,0.30000001192,0.20000000298,0,0,0,0
50,0,0.30000001192,0.80000001192,-10,-5,18,20,0,0.69999998808,0.60000002384,0.60000002384,0.5,0.30000001192,0,0,0,0
51,0,0.40000000596,0.60000002384,-5,-5,0,20,0,0.69999998808,0.69999998808,0.69999998808,0.5,0,0,0,0,0
52,0,0.40000000596,0.60000002384,2,-2,-5,15,0,0.80000001192,0.80000001192,0.69999998808,0.5,0,0,0,0,0
53,0,0.40000000596,0.60000002384,5,0,0,0,0,0.80000001192,0.69999998808,0.69999998808,0.40000000596,0,0,0,0,0
54,0,0.80000001192,0.75,0,0,0,0,0,0.80000001192,0.60000002384,0.60000002384,0.60000002384,0.60000002384,0,0,0,0
55,0,0.80000001192,0.75,0,0,0,0,0,0.40000000596,0.30000001192,0.30000001192,0.30000001192,0.30000001192,0,0,0,0
56,0,0,0.80000001192,0,0,15,35,0,0.89999997616,0.89999997616,0.69999998808,0.44999998808,0,-20,0,0.5,0.5
57,0,0,0.80000001192,-8,15,20,30,0,0.80000001192,0.75,0.69999998808,0.60000002384,0.30000001192,-10,-5,0.5,0.5
58,0,0,0.80000001192,-6,5,20,28,0,0.69999998808,0.69999998808,0.69999998808,0.44999998808,0,0,0,0.5,0.5
59,0,0.5,1.29999995232,-3,0,-5,0,-8,0.80000001192,0.80000001192,0.69999998808,0.5,0.30000001192,0,0,0,0
60,0,0.5,1.29999995232,-3,0,-5,15,0,0.94999998808,0.85000002384,0.80000001192,0.60000002384,0.30000001192,0,0,0,0
61,0,0.5,1,0,0,6,15,0,0.41999998689,0.36000001431,0.36000001431,0.30000001192,0,0,0,0,0
62,0,0.30000001192,1.60000002384,-3,-4,0,0,0,0.60000002384,0.60000002384,0.30000001192,0.20000000298,0,0,0,0,0
63,0,0.30000001192,1.60000002384,2,0,0,20,0,0.69999998808,0.80000001192,0.5,0.20000000298,0,0,0,0,0
64,0,0.30000001192,1.60000002384,-3,-4,0,0,0,0.5,0.5,0.25,0.15000000596,0,0,0,0,0
65,0,0.30000001192,1.20000004768,0,0,0,0,0,0.60000002384,0.5,0.30000001192,0.20000000298,0,0,0,0,0
66,0,0.20000000298,0.40000000596,0,0,0,15,0,0.60000002384,0.40000000596,0.25,0.15000000596,0,0,0,0,0
67,0,0.20000000298,0.5,-5,0,0,15,0,0.60000002384,0.30000001192,0.30000001192,0.15000000596,0,0,0,0,0
68,0,0.20000000298,0.60000002384,-8,18,0,0,0,0.5,0.5,0.5,0.30000001192,0,0,0,0,0
69,0,0.30000001192,0.89999997616,-4,-6,5,20,20,0.60000002384,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
70,0,0.80000001192,0.34999999404,-4,5,-2,10,20,0.98000001907,0.94999998808,0.94999998808,0.69999998808,0.5,0,0,0,0
71,0,0.5,0.30000001192,0,0,0,0,0,0.60000002384,0.80000001192,0.60000002384,0.25,0,0,0,0,0
72,-5,0.60000002384,0.30000001192,5,4,0,0,0,0.80000001192,0.98000001907,0.89999997616,0.40000000596,0,0,0,0,0
73,0,0.60000002384,0.80000001192,-1,-1,6,10,10,0.80000001192,0.80000001192,0.60000002384,0.5,0.40000000596,0,0,0,0
74,0,0.5,0.34999999404,-5,-5,15,15,10,0.80000001192,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
75,0,0.30000001192,0.80000001192,-10,-5,15,20,0,0.69999998808,0.60000002384,0.60000002384,0.5,0.30000001192,0,0,0,0
76,0,0.30000001192,1,-5,0,5,15,0,0.80000001192,0.80000001192,0.60000002384,0.60000002384,0.20000000298,0,0,0,0
77,0,0.60000002384,1,-5,-8,-4,40,0,0.89999997616,0.80000001192,0.60000002384,0.30000001192,0.20000000298,0,0,0,0
78,-5,0.80000001192,1.29999995232,2,0,-8,15,0,0.94999998808,0.85000002384,0.80000001192,0.69999998808,0.30000001192,0,0,0,0
79,-5,0.60000002384,1.29999995232,-10,0,0,0,0,0.40000000596,0.40000000596,0.40000000596,0.30000001192,0.10000000149,0,0,0,0
80,0,0.20000000298,0.60000002384,-6,-7,9,5,0,0.34999999404,0.25,0.25,0.20000000298,0,0,0,0,0
81,0,0.30000001192,1.60000002384,-3,-1.5,4,7.5,0,0.30000001192,0.40000000596,0.34999999404,0.30000001192,0,0,0,0,0
82,0,0,0.60000002384,0,0,10,0,0,0.80000001192,0.80000001192,0.5,0.30000001192,0,-10,0,0.30000001192,0.30000001192
83,0,0,0.60000002384,-6,20,10,10,0,0.80000001192,0.80000001192,0.5,0.30000001192,0,-10,-5,0.30000001192,0.30000001192
84,0,0,0.60000002384,-8,24,10,15,0,0.80000001192,0.80000001192,0.60000002384,0.40000000596,0.20000000298,-10,-10,0.5,0.5
85,0,0.5,0.60000002384,-8,6,10,15,0,0.80000001192,0.80000001192,0.60000002384,0.40000000596,0.20000000298,-10,-10,0.69999998808,0.69999998808
1916,-2,0.75,0.89999997616,-4,-6,10,20,20,0.80000001192,0.60000002384,0.60000002384,0.5,0.30000001192,0,0,0,0
1918,0,0.69999998808,0.89999997616,-5,-3,10,20,10,0.80000001192,0.69999998808,0.34999999404,0.25,0.25,0,0,0,0
1923,0,0.69999998808,0.89999997616,0,0,0,5,5,0.30000001192,0.30000001192,0.30000001192,0.25,0.25,0,0,0,0
1930,0,0.5,0.34999999404,-2,-5,0,10,20,0.69999998808,0.60000002384,0.60000002384,0.30000001192,0,0,0,0,0
1882,0,0,1,-17,25,30,0,0,0.60000002384,0.60000002384,0.40000000596,0.20000000298,0.20000000298,0,0,0,0
1926,0,0.30000001192,0.80000001192,-5,3,3,3,12,0.80000001192,0.80000001192,0.80000001192,0.60000002384,0.80000001192,0,0,0,0
1929,5,0.5,0.34999999404,-5,0,0,20,20,0.89999997616,0.80000001192,0.80000001192,0.80000001192,0.5,0,0,0,0
1822,-2,0.75,0.89999997616,-4,-6,5,20,20,0.60000002384,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1884,-2,0.75,0.89999997616,-4,-6,5,20,20,0.60000002384,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1909,-2,0.75,0.89999997616,-4,-6,5,20,20,0.60000002384,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1921,-2,0.75,0.89999997616,-4,-6,5,20,20,0.60000002384,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1953,-2,0.75,0.89999997616,-4,-6,5,20,20,0.60000002384,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1889,0,0.30000001192,0.5,-3,0,0,10,10,0.5,0.5,0.5,0.30000001192,0,0,0,0,0
1958,0,0.30000001192,0.5,-3,0,0,10,10,0.5,0.5,0.5,0.30000001192,0,0,0,0,0
1890,0,0,0.80000001192,-6,-3,20,28,0,0.69999998808,0.69999998808,0.69999998808,0.44999998808,0,0,0,0.30000001192,0.30000001192
1894,0,0,0.60000002384,-8,24,10,10,0,0.80000001192,0.80000001192,0.5,0.30000001192,0,-10,0,0.30000001192,0.30000001192
1948,0,0.30000001192,0.30000001192,-6,-7,-3,0,0,0.60000002384,0.80000001192,0.60000002384,0.5,0,0,0,0,0
1950,0,0.30000001192,0.30000001192,5,4,0,0,0,0.80000001192,0.98000001907,0.98000001907,0.80000001192,0,0,0,0,0
1914,0,0.5,1,0,0,10,25,0,0.69999998808,0.60000002384,0.60000002384,0.5,0,0,0,0,0
1905,0,0.20000000298,0.40000000596,0,0,0,0,0,0.60000002384,0.40000000596,0.25,0.15000000596,0,0,0,0,0
1907,0,0.20000000298,0.5,0,0,0,0,0,0.5,0.30000001192,0.30000001192,0.30000001192,0,0,0,0,0
1899,0,0.30000001192,1.60000002384,-3,-4,0,40,10,0.60000002384,0.80000001192,0.80000001192,0.40000000596,0,0,0,0,0
1903,0,0.30000001192,1.20000004768,0,0,0,15,10,0.60000002384,0.5,0.30000001192,0.20000000298,0,0,0,0,0
1883,0,0,0.5,3.5,4,5,5,5,0.25,0.25,0.15000000596,0.25,0,0,0,0,0
1878,-5,0.69999998808,0.89999997616,2,-6,7.5,25,25,0.94999998808,0.94999998808,0.94999998808,0.80000001192,0.5,0,0,0,0
1885,-5,0.69999998808,0.89999997616,2,-6,7.5,25,25,0.94999998808,0.94999998808,0.94999998808,0.80000001192,0.5,0,0,0,0
1910,-5,0.69999998808,0.89999997616,2,-6,7.5,25,25,0.94999998808,0.94999998808,0.94999998808,0.80000001192,0.5,0,0,0,0
1917,-5,0.69999998808,0.89999997616,2,-6,7.5,25,25,0.94999998808,0.94999998808,0.94999998808,0.80000001192,0.5,0,0,0,0
1922,-5,0.69999998808,0.89999997616,2,-6,7.5,25,25,0.94999998808,0.94999998808,0.94999998808,0.80000001192,0.5,0,0,0,0
1957,-5,0.69999998808,0.89999997616,2,-6,7.5,25,25,0.94999998808,0.94999998808,0.94999998808,0.80000001192,0.5,0,0,0,0
1879,0,0.69999998808,0.89999997616,-3,-3,2.5,10,10,0.30000001192,0.34999999404,0.34999999404,0.25,0.25,0,0,0,0
1886,0,0.69999998808,0.89999997616,-3,-3,2.5,10,10,0.30000001192,0.34999999404,0.34999999404,0.25,0.25,0,0,0,0
1911,0,0.69999998808,0.89999997616,-3,-3,2.5,10,10,0.30000001192,0.34999999404,0.34999999404,0.25,0.25,0,0,0,0
1956,0,0.69999998808,0.89999997616,-3,-3,2.5,10,10,0.30000001192,0.34999999404,0.34999999404,0.25,0.25,0,0,0,0
1951,0,0.30000001192,0.30000001192,10,-8,0,0,0,0.5,0.5,0.40000000596,0.40000000596,0,0,0,0,0
1880,0,0.69999998808,0.89999997616,-5,-4,10,20,20,0.69999998808,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1887,0,0.69999998808,0.89999997616,-5,-4,10,20,20,0.69999998808,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1912,0,0.69999998808,0.89999997616,-5,-4,10,20,20,0.69999998808,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1919,0,0.69999998808,0.89999997616,-5,-4,10,20,20,0.69999998808,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1924,0,0.69999998808,0.89999997616,-5,-4,10,20,20,0.69999998808,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1955,0,0.69999998808,0.89999997616,-5,-4,10,20,20,0.69999998808,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1932,3,0.60000002384,0.34999999404,0,0,15,15,10,0.94999998808,0.80000001192,0.80000001192,0.30000001192,0.20000000298,0,0,0,0
1891,0,0,0.80000001192,0,0,15,35,0,0.89999997616,0.89999997616,0.69999998808,0.44999998808,0,-20,0,0.5,0.5
1892,0,0,0.80000001192,-8,15,20,30,0,0.80000001192,0.75,0.69999998808,0.60000002384,0.30000001192,-10,-5,0.5,0.5
1893,0,0,0.80000001192,-6,5,20,28,0,0.69999998808,0.69999998808,0.69999998808,0.44999998808,0,0,0,0.5,0.5
1915,0,0.5,1,0,0,6,15,0,0.41999998689,0.36000001431,0.36000001431,0.30000001192,0,0,0,0,0
1900,0,0.30000001192,1.60000002384,-3,-4,0,0,0,0.60000002384,0.60000002384,0.30000001192,0.20000000298,0,0,0,0,0
1901,0,0.30000001192,1.60000002384,2,0,0,20,0,0.69999998808,0.80000001192,0.5,0.20000000298,0,0,0,0,0
1902,0,0.30000001192,1.60000002384,-3,-4,0,0,0,0.5,0.5,0.25,0.15000000596,0,0,0,0,0
1904,0,0.30000001192,1.20000004768,0,0,0,0,0,0.60000002384,0.5,0.30000001192,0.20000000298,0,0,0,0,0
1906,0,0.20000000298,0.40000000596,0,0,0,15,0,0.60000002384,0.40000000596,0.25,0.15000000596,0,0,0,0,0
1908,0,0.20000000298,0.5,-5,0,0,15,0,0.60000002384,0.30000001192,0.30000001192,0.15000000596,0,0,0,0,0
1881,0,0.30000001192,0.89999997616,-4,-6,5,20,20,0.60000002384,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1888,0,0.30000001192,0.89999997616,-4,-6,5,20,20,0.60000002384,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1913,0,0.30000001192,0.89999997616,-4,-6,5,20,20,0.60000002384,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1920,0,0.30000001192,0.89999997616,-4,-6,5,20,20,0.60000002384,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1925,0,0.30000001192,0.89999997616,-4,-6,5,20,20,0.60000002384,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1954,0,0.30000001192,0.89999997616,-4,-6,5,20,20,0.60000002384,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1949,0,0.5,0.30000001192,0,0,0,0,0,0.60000002384,0.80000001192,0.60000002384,0.25,0,0,0,0,0
1952,-5,0.60000002384,0.30000001192,5,4,0,0,0,0.80000001192,0.98000001907,0.89999997616,0.40000000596,0,0,0,0,0
1928,0,0.60000002384,0.80000001192,-1,-1,6,10,10,0.80000001192,0.80000001192,0.60000002384,0.5,0.40000000596,0,0,0,0
1931,0,0.5,0.34999999404,-5,-5,15,15,10,0.80000001192,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
1895,0,0,0.60000002384,0,0,10,0,0,0.80000001192,0.80000001192,0.5,0.30000001192,0,-10,0,0.30000001192,0.30000001192
1896,0,0,0.60000002384,-6,20,10,10,0,0.80000001192,0.80000001192,0.5,0.30000001192,0,-10,-5,0.30000001192,0.30000001192
1897,0,0,0.60000002384,-8,24,10,15,0,0.80000001192,0.80000001192,0.60000002384,0.40000000596,0.20000000298,-10,-10,0.5,0.5
1898,0,0.5,0.60000002384,-8,6,10,15,0,0.80000001192,0.80000001192,0.60000002384,0.40000000596,0.20000000298,-10,-10,0.69999998808,0.69999998808
