ScriptTag,Position_0,Position_1,Position_2,ID,UiModelSceneID,Flags,UiModelSceneActorDisplayID,OrientationYaw,OrientationPitch,OrientationRoll,NormalizedScale
grunt8,12,4,-1.25,333,232,0,158,3.66519141197,0,0,0
player,3,0,-1.5,334,232,0,161,3.14159274101,0,0,0
grunt1,4,-1.25,-1.25,335,233,0,147,2.87979316711,0,0,0
grunt2,4,1.5,-1.25,336,233,0,157,3.49065852165,0,0,0
grunt3,6,-3.5,-1.25,337,233,0,147,2.61799383163,0,0,0
grunt4,6,3.5,-1.25,338,233,0,147,3.66519141197,0,0,0
grunt5,10,-5.5,-1.25,339,233,0,147,2.61799383163,0,0,0
grunt6,10,5.5,-1.25,340,233,0,147,3.66519141197,0,0,0
grunt7,12,-4,-1.25,341,233,0,157,2.61799383163,0,0,0
grunt8,12,4,-1.25,342,233,0,147,3.66519141197,0,0,0
player,3,0,-1.5,343,233,0,160,3.14159274101,0,0,0
effect,0,1.5,-0.5,344,234,0,145,0,0,0,0
unwrapped,0,0,0,346,236,9,6,0.78539818525,0.78539818525,0.78539818525,0.25
wrapped,0,0,-0.5,347,236,0,1,0,0,0,0
item,1.5,0,1.20000004768,348,237,15,181,3.92699074745,-0.13962633908,0.22689279914,0.44999998808
pet,0,0,-0.5,349,238,9,9,0,0,0,1
unwrapped,0,0,-1,352,240,9,9,0,0,0,1
wrapped,0,0,-0.5,353,240,0,10,0,0,0,0
unwrapped,0,0,-0.5,354,241,9,9,0,0,0,1
wrapped,0,0,-0.5,355,241,0,10,0,0,0,0
item,0,0,-0.20000000298,357,242,15,15,-2.61799383163,0,0,0.20000000298
item,0,0,-0.30000001192,358,243,11,15,-2.61799383163,0,0,0.25
item,0,0,0,359,244,11,15,-2.61799383163,0,0,0.05000000075
item,1.20000004768,0,0,360,245,15,15,-2.61799383163,0,0,0.25
item,0,0,0,361,246,15,15,-2.61799383163,0,0,0.40000000596
item,0.5,0,0,362,247,15,15,-2.61799383163,0,0,0.15999999642
item1,3,20,5,363,248,15,15,-2.44346094131,0,0,0.30000001192
item2,-3.5,10,2,364,248,15,15,-2.44346094131,0,0,1
item3,0.80000001192,2,1.20000004768,365,248,15,15,-1.39626336098,-0.06981316954,0,1
item4,-2.5,0,-0.10000000149,366,248,15,15,-2.44346094131,-0.08726646006,0,15
item5,2,0,0,367,248,15,15,-1.39626336098,0,0,1.70000004768
item6,-1.79999995232,0,-0.69999998808,368,248,15,15,-1.39626336098,0,0,2.5
item7,-3.40000009537,5,0,369,248,15,15,-2.09439516068,0,0,2.5
item1,3,20,5,370,249,15,15,-2.44346094131,0,0,0.30000001192
item2,-2.79999995232,10,2,371,249,15,15,-2.44346094131,0,0,1
item3,0.80000001192,2,1.20000004768,372,249,15,15,-1.39626336098,-0.06981316954,0,1
item4,-2.5,0,-0.10000000149,373,249,15,15,-2.44346094131,-0.08726646006,0,15
item5,2,0,0,374,249,15,15,-1.39626336098,0,0,1.70000004768
item6,-1.79999995232,0,-0.69999998808,375,249,15,15,-1.39626336098,0,0,2.5
item7,-3.40000009537,5,0,376,249,15,15,-2.09439516068,0,0,2.5
item,3.59999990463,0,1.79999995232,377,250,15,165,3.92699074745,-0.13962633908,0.22689279914,0.75
item,0,0,0,378,251,15,15,-2.61799383163,0,0,0.30000001192
item,0,0,-0.80000001192,379,252,15,15,-2.61799383163,0,0,0.69999998808
wrapped,0,0,-0.40000000596,380,253,0,1,0,0,0,0
unwrapped,0,0,0,381,254,9,9,0,0,0,1
wrapped,0,0,-0.5,382,254,0,10,0,0,0,0
item,0,0,-0.89999997616,383,255,15,15,-2.61799383163,0,0,0.69999998808
effect,0,0,0.5,386,257,14,168,0,0,0,5
effect,0,0,-0.40000000596,387,259,0,0,0,0,0,0
item,-2,0,1.79999995232,393,262,15,165,3.92699074745,-0.13962633908,0.22689279914,0.55000001192
item,0.15000000596,0,0,394,263,15,169,-2.61799383163,0,0,0.25
item,4.5,0,1.79999995232,395,264,15,165,3.92699074745,0,0,0.5
item,0,0,0.75,396,265,15,15,-2.61799383163,0,0,0.12999999523
item,0.10000000149,0,-0.20000000298,397,266,15,15,-2.61799383163,0,0,0.40000000596
item,0.20000000298,0,0.25,398,267,15,15,-2.61799383163,0,0,0.25
creature,0,0.64999997616,2,399,268,9,14,0.17453292012,0,0,0.40000000596
player-rider,0,0,0,400,4,0,170,0,0,0,0
effect,0,0,0,401,269,0,0,0,0,0,0
effect,0,0,0,402,270,0,0,0,0,0,0
effect,0,0,0,403,256,0,167,0.01745329238,0,0,1.69000005722
item,0.20000000298,0,0.25,404,271,15,15,-2.61799383163,0,0,0.25
item,0.10000000149,0,-0.20000000298,405,272,15,15,-2.61799383163,0,0,0.40000000596
item,0,0,0.75,406,273,15,15,-2.61799383163,0,0,0.12999999523
player-rider,0,0,0,407,43,0,170,0,0,0,0
player-rider,0,0,0,408,44,0,170,0,0,0,0
player-rider,0,0,0,409,45,0,170,0,0,0,0
creature,0,0,0.5,410,274,9,14,0.17453292012,0,0,0.40000000596
unwrapped,0,0,-1,411,275,9,6,0,0,0,0.25
wrapped,0,0,-0.5,412,275,0,1,0,0,0,0
player-rider,0,0,0,413,275,0,170,0,0,0,0
item,0,0,0.60000002384,414,276,15,15,-2.61799383163,0,0,0.34999999404
unwrapped,0,0,0,415,277,9,9,0,0,0,1
wrapped,0,0,-0.5,416,277,0,10,0,0,0,0
pet,0,0,0,417,278,9,11,0,0,0,0.85000002384
effect2,0,0,0,419,269,0,0,0,3.12413930893,0,0
effect2,0,0,0,420,270,0,0,0,3.12413930893,0,0
item1,-2,0,0.10000000149,421,279,15,15,4.71238899231,0,0,0.5
item2,1.5,0,0.25,422,279,15,15,-2.61799383163,0,0,0.5
creature,0,0,12,423,280,9,14,0,0,0,0.12999999523
item1,0,2,0.69999998808,424,281,15,173,4.62512254715,0,0,0.21999999881
item2,0.5,-2,0,425,281,15,5,-3.22885918617,0,0,0
effect,0,0,0,426,282,0,0,0,0,0,0
effect2,0,0,0,427,282,0,0,0,3.12413930893,0,0
item1,-2.70000004768,0,-0.30000001192,428,283,15,173,-1.65806281567,0,0,0.60000002384
item2,10,5,0.20000000298,429,283,15,169,3.14159274101,0.08726646006,0,0.25
item,0.15000000596,0,-1.54999995232,430,284,15,169,-2.87979316711,0,0,0.30000001192
item,0.15000000596,0,-1.54999995232,431,285,15,169,-2.87979316711,0,0,0.34999999404
effect,0,0,0,432,286,0,0,0,0,0,0
effect2,0,0,-5,433,286,0,0,-0.87266463041,0.01745329238,0,0
effect,0,0,0,434,287,0,0,0,0,0,0
effect,0,0,0,435,288,0,0,0,0,0,0
effect,0,0,0,436,289,0,0,0,0,0,0
player,0,0,0,438,290,2,170,-0.95993107557,0,0,1
item2,-1.5,0,0.72000002861,439,291,15,15,-2.53072738647,0,0,12
item3,1.60000002384,0,0.07999999821,440,291,15,15,4.88692188263,0,0,0.21999999881
player,0,0,0,441,291,3,170,-2.35619449615,0,0,1
item1,-2.20000004768,-4,3,446,292,15,177,3.83972430229,-0.08726646006,0,0.73000001907
item2,7,2,1.5,447,292,15,177,4.97418832779,0,0,2.29999995232
tauren-male,0,0,0.10000000149,449,290,2,170,-0.95993107557,0,0,0.28999999166
gnome,0,0,0.02999999933,450,290,2,170,-0.95993107557,0,0,2.04999995232
player,0,0,0,453,293,2,170,-0.95993107557,0,0,1
tauren-male,0,0,0.10000000149,454,293,2,170,-0.95993107557,0,0,0.28999999166
gnome,0,0,0.02999999933,455,293,2,170,-0.95993107557,0,0,2.04999995232
item,0,0,-0.69999998808,456,294,13,15,-1.39626336098,0,0,0.00499999989
item,0,0,-0.02999999933,457,295,15,15,-2.44346094131,0,0,0.37000000477
item,-0.10000000149,0,3.29999995232,458,296,15,175,3.57792496681,0,0,0.40000000596
player-rider,0,0,0,464,226,0,170,0,0,0,0
player-rider,0,0,0,465,227,0,170,0,0,0,0
player-rider,0,0,0,466,228,0,170,0,0,0,0
player-rider,0,0,0,467,236,0,170,0,0,0,0
player,0,0,0,468,292,1,170,4.97418832779,0,0,1
dwarf-male,0,0,0.03999999911,471,290,2,174,-0.95993107557,0,0,4.80000019073
scourge-male,0,0,0,472,290,2,174,-0.95993107557,0,0,19
pandaren,0,0,0.0700000003,473,290,2,170,-0.95993107557,0,0,0.37000000477
worgen-male,0,0,-0.03999999911,474,290,2,170,-0.95993107557,0,0,0.20000000298
draenei-male,0,0,0.1400000006,475,290,0,170,-0.95993107557,0,0,0.49000000954
goblin-male,0,0,0.01999999955,476,290,2,170,-0.95993107557,0,0,6.30000019073
goblin-female,0,0,0.03999999911,477,290,2,170,-0.95993107557,0,0,4
player,0,0,0,479,296,1,170,3.83972430229,0,0,1
orc,0,0,0.05999999866,483,290,2,170,-0.95993107557,0,0,0.33000001311
tauren-female,0,0,0.10000000149,484,290,2,170,-0.95993107557,0,0,0.41999998689
troll-male,0,0,-0.05999999866,485,290,2,170,-0.95993107557,0,0,0.07999999821
troll-female,0,0,0,486,290,2,170,-0.95993107557,0,0,0.64999997616
scourge-female,0,0,-0.00999999978,487,290,2,170,-0.95993107557,0,0,3.29999995232
lightforgeddraenei-male,0,0,0.12999999523,488,290,0,170,-0.95993107557,0,0,0.49000000954
lightforgeddraenei-female,0,0,0.03999999911,489,290,2,170,-0.95993107557,0,0,0.80000001192
highmountaintauren-male,0,0,0.10000000149,490,290,2,170,-0.95993107557,0,0,0.28999999166
highmountaintauren-female,0,0,0.10000000149,491,290,2,170,-0.95993107557,0,0,0.41999998689
zandalaritroll,0,0,0.05000000075,492,290,2,170,-0.95993107557,0,0,0.86000001431
kultiran-male,0,0,0.01999999955,494,290,2,170,-0.95993107557,0,0,0.49000000954
magharorc-male,0,0,0.1099999994,495,290,2,170,-0.95993107557,0,0,0.33000001311
kultiran-female,0,0,0,497,290,2,170,-0.95993107557,0,0,1.12000000477
magharorc-female,0,0,0.05000000075,498,290,2,170,-0.95993107557,0,0,0.18000000715
darkirondwarf-male,0,0,0.0700000003,499,290,2,174,-0.95993107557,0,0,4.94999980927
worgen-female,0,0,0,500,290,2,170,-0.95993107557,0,0,1.20000004768
draenei-female,0,0,0.05000000075,501,290,2,170,-0.95993107557,0,0,1.00999999046
dwarf-male,0,0,0.03999999911,502,293,0,174,-0.95993107557,0,0,4.80000019073
scourge-male,0,0,0,503,293,2,174,-0.95993107557,0,0,19
pandaren,0,0,0.0700000003,504,293,2,170,-0.95993107557,0,0,0.37000000477
worgen-male,0,0,-0.03999999911,505,293,2,170,-0.95993107557,0,0,0.20000000298
draenei-male,0,0,0.1400000006,506,293,2,170,-0.95993107557,0,0,0.49000000954
goblin-male,0,0,0.01999999955,507,293,2,170,-0.95993107557,0,0,6.30000019073
goblin-female,0,0,0.03999999911,508,293,2,170,-0.95993107557,0,0,4
orc,0,0,0.05999999866,509,293,2,170,-0.95993107557,0,0,0.33000001311
tauren-female,0,0,0.10000000149,510,293,2,170,-0.95993107557,0,0,0.41999998689
troll-male,0,0,-0.05999999866,511,293,2,170,-0.95993107557,0,0,0.07999999821
troll-female,0,0,0,512,293,2,170,-0.95993107557,0,0,0.64999997616
scourge-female,0,0,-0.00999999978,513,293,2,170,-0.95993107557,0,0,3.29999995232
lightforgeddraenei-male,0,0,0.12999999523,514,293,2,170,-0.95993107557,0,0,0.49000000954
lightforgeddraenei-female,0,0,0.03999999911,515,293,2,170,-0.95993107557,0,0,0.80000001192
highmountaintauren-male,0,0,0.10000000149,516,293,2,170,-0.95993107557,0,0,0.28999999166
highmountaintauren-female,0,0,0.10000000149,517,293,2,170,-0.95993107557,0,0,0.41999998689
zandalaritroll,0,0,0.05000000075,518,293,2,170,-0.95993107557,0,0,0.86000001431
kultiran-male,0,0,0.01999999955,519,293,2,170,-0.95993107557,0,0,0.49000000954
magharorc-male,0,0,0.1099999994,520,293,2,170,-0.95993107557,0,0,0.33000001311
kultiran-female,0,0,0,521,293,2,170,-0.95993107557,0,0,1.12000000477
magharorc-female,0,0,0.05000000075,522,293,2,170,-0.95993107557,0,0,0.18000000715
darkirondwarf-male,0,0,0.0700000003,523,293,2,174,-0.95993107557,0,0,4.94999980927
worgen-female,0,0,0,524,293,2,170,-0.95993107557,0,0,1.20000004768
draenei-female,0,0,0.05000000075,525,293,2,170,-0.95993107557,0,0,1.00999999046
tauren-male,0,0,0.10000000149,526,291,3,170,-2.35619449615,0,0,0.28999999166
gnome,0,0,0.02999999933,527,291,3,170,-2.35619449615,0,0,2.04999995232
dwarf-male,0,0,0.03999999911,528,291,3,174,-2.35619449615,0,0,4.80000019073
undead-male,0,0,0,529,291,3,174,-2.35619449615,0,0,19
pandaren,0,0,0.0700000003,530,291,3,170,-2.35619449615,0,0,0.37000000477
worgen-male,0,0,-0.03999999911,531,291,3,170,-2.35619449615,0,0,0.20000000298
draenei-male,0,0,0.1400000006,532,291,3,170,-2.35619449615,0,0,0.49000000954
goblin-male,0,0,0.01999999955,533,291,3,170,-2.35619449615,0,0,6.30000019073
goblin-female,0,0,0.03999999911,534,291,3,170,-2.35619449615,0,0,4
orc,0,0,0.05999999866,535,291,3,170,-2.35619449615,0,0,0.33000001311
tauren-female,0,0,0.10000000149,536,291,3,170,-2.35619449615,0,0,0.41999998689
troll-male,0,0,-0.05999999866,537,291,3,170,-2.35619449615,0,0,0.07999999821
troll-female,0,0,0,538,291,3,170,-2.35619449615,0,0,0.64999997616
undead-female,0,0,-0.00999999978,539,291,3,170,-2.35619449615,0,0,3.29999995232
lightforgeddraenei-male,0,0,0.12999999523,540,291,3,170,-2.35619449615,0,0,0.49000000954
lightforgeddraenei-female,0,0,0.03999999911,541,291,3,170,-2.35619449615,0,0,0.80000001192
highmountaintauren-male,0,0,0.10000000149,542,291,3,170,-2.35619449615,0,0,0.28999999166
highmountaintauren-female,0,0,0.10000000149,543,291,3,170,-2.35619449615,0,0,0.41999998689
zandalaritroll,0,0,0.05000000075,544,291,3,170,-2.35619449615,0,0,0.86000001431
kultiran-male,0,0,0.01999999955,545,291,3,170,-2.35619449615,0,0,0.49000000954
magharorc-male,0,0,0.1099999994,546,291,3,170,-2.35619449615,0,0,0.33000001311
kultiran-female,0,0,0,547,291,3,170,-2.35619449615,0,0,1.12000000477
magharorc-female,0,0,0.05000000075,548,291,3,170,-2.35619449615,0,0,0.18000000715
darkirondwarf-male,0,0,0.0700000003,549,291,3,174,-2.35619449615,0,0,4.94999980927
worgen-female,0,0,0,550,291,3,170,-2.35619449615,0,0,1.20000004768
draenei-female,0,0,0.05000000075,551,291,3,170,-2.35619449615,0,0,1.00999999046
unwrapped,0,0,0.18000000715,552,297,9,9,0,0,0,0.0700000003
wrapped,0,0,0.25,553,297,0,10,0,0,0,0.5
pet,0,0,0,554,298,9,11,1.57079637051,0,0,0.44999998808
item,1.5,0,-1.29999995232,555,299,15,15,-2.61799383163,0,0,0.34999999404
tauren-male,0,0,0.10000000149,556,296,1,170,3.83972430229,0,0,0.28999999166
gnome-male,0,0,0,557,296,1,170,3.83972430229,0,0,2.04999995232
dwarf-male,0,0,0.03999999911,558,296,1,174,3.83972430229,0,0,4.80000019073
undead-male,0,0,0,559,296,1,174,3.83972430229,0,0,19
pandaren-male,0,0,0.0700000003,560,296,1,170,3.83972430229,0,0,0.37000000477
worgen-male,-0.20000000298,0,-0.03999999911,561,296,1,170,3.83972430229,0,0,0.20000000298
draenei-male,0,0,0.1400000006,562,296,1,170,3.83972430229,0,0,0.49000000954
goblin-male,0,0,0.01999999955,563,296,1,170,3.83972430229,0,0,6.30000019073
goblin-female,0,0,0.03999999911,564,296,1,170,3.83972430229,0,0,4
orc-male,-0.20000000298,0,0.05999999866,565,296,1,170,3.83972430229,0,0,0.52999997139
tauren-female,0.30000001192,0,0.10000000149,566,296,1,170,4.18879032135,0,0,0.41999998689
troll-male,-0.10000000149,0,-0.05999999866,567,296,1,170,3.83972430229,0,0,0.11999999732
troll-female,0.20000000298,0,0,568,296,1,170,4.18879032135,0,0,0.64999997616
undead-female,0,0,-0.00999999978,569,296,1,170,3.83972430229,0,0,3.29999995232
