ID,PositionOffset_0,PositionOffset_1,PositionOffset_2,TargetOffset_0,TargetOffset_1,TargetOffset_2,Type,Flags,PositionSmoothing,RotationSmoothing,FieldOfView,LockedPositionOffsetBase,LockedPositionOffsetDirection,LockedTargetOffsetBase,LockedTargetOffsetDirection,Field_10_1_5_50232_011
49,12,1,22,896.43402099609,781,-304.30999755859,2,112,0,0,90,0,0,2,0,0
50,23,-1,6,-4,4,-7,2,108,0,0,90,0,0,0,0,0
51,0,0,0,1370.6400146484,-1466.3599853516,120,2,256,0,0,60,0,2,2,2,1
52,0,0,0,1370.6400146484,-1466.3599853516,120,2,256,0,0,20,0,2,2,2,1
53,0,0,0,0,5,0,2,112,0,0,90,1,3,0,0,0
54,-9216.990234375,-1551.0100097656,-143.97300720215,-9258.1796875,-1551.5400390625,-143.67300415039,2,344,0.69999998808,0.69999998808,120,2,0,2,0,1
55,0,0,0,0,5,0,2,344,0.20000000298,0.20000000298,120,0,2,1,2,1
56,0,0,0,0,5,0,2,376,0.20000000298,0.20000000298,90,0,2,1,2,1
57,30,12,5,0,10,0,2,65,0,0,60,0,0,0,0,0
58,-15,-20,6,0,3,0,2,67,1,1,60,0,0,0,0,0
59,0,0,0,-1227.2099609375,2043,10,2,367,0,0,30,0,0,2,0,1
60,0,0,0,-888.84197998047,2305,19,2,367,0,0.10000000149,20,0,0,2,0,1
61,2,5,4,0,0,4,2,16,0,0,90,0,0,0,0,0
62,1,-10,1,0,0,5,2,16,0,0,90,0,0,0,0,0
63,5,-20,5,0,100,0,2,16,0.10000000149,0.10000000149,90,0,0,0,0,0
64,0,0,0,-1251.8699951172,2014,36,2,263,0.10000000149,0.10000000149,60,0,0,2,0,1
65,25,-15,5,0,0,0,2,279,0.10000000149,0.10000000149,90,0,0,0,0,1
66,-9686.3701171875,-1726.7800292969,92.73699951172,-9695.2802734375,-1718.4300537109,78.9879989624,2,0,1,0,95,2,2,2,0,0
67,20,0,20,0,0,0,2,65,0,0,60,0,0,0,0,0
68,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,2,372,0.89999997616,0.89999997616,90,0,0,1,0,1
70,0,0,0,3004.8000488281,-3438.8898925781,152,2,368,0.10000000149,0.10000000149,90,0,2,2,2,1
71,-9092.7998046875,-873.791015625,176.06100463867,-9076.509765625,-849.78997802734,157.27699279785,2,0,0,0,100,2,2,2,0,0
72,0,-4,0,0,0,0,2,124,0.20000000298,0.20000000298,10,0,2,1,2,0
73,0,-20,0,0,0,8,2,124,0.5,0.5,50,0,2,1,2,0
74,-4915.4702148438,3467.3000488281,-93.48570251465,0,0,0,2,108,0.10000000149,0.5,120,2,0,0,2,0
75,0,-5,3,0,3,0,2,16,0.20000000298,0.20000000298,90,0,2,0,2,0
76,0,-10,0,0,0,0,2,64,0.20000000298,0.20000000298,90,0,0,0,0,0
77,0,-20,0,0,0,0,2,124,0.89999997616,0.5,50,0,2,1,2,0
78,0,25,0,0,0,0,2,112,0,0,50,0,0,0,3,0
79,-25,-15,5,0,0,0,2,112,0,0,50,0,0,0,3,0
80,-7126.8901367188,-2711.3400878906,253.19299316406,-7110.5600585938,-2726.4499511719,265,2,256,0,0,90,2,0,2,0,1
81,-7134.6801757812,-2704.8500976562,254.20899963379,0,0,0,2,256,0,0,90,2,0,0,0,1
82,0,20,0,0,0,0,2,336,0,0,40,1,0,0,0,1
83,0,-1,1,0,1,-1,2,380,0.5,2,90,0,2,1,2,1
84,-8892.8203125,-1759.0500488281,270,-8892.8203125,-1750,270,2,272,0,0,50,2,0,2,0,1
85,0,-1,0,0,2,0,2,380,0.69999998808,0.69999998808,90,0,2,1,2,1
86,0,20,0,0,0,1,2,380,0,0,20,0,2,1,2,1
87,0,-40,10,0,-20,5,2,0,0,0,90,0,0,0,0,0
88,0,0,0,0,5,0,2,368,0,0,90,1,3,0,0,1
89,0,0,5,0,3,15,2,380,0.5,0.5,90,0,2,1,2,1
90,0,0,0,-6467.58984375,-2479.1599121094,306,2,256,0,0,90,0,0,2,0,1
91,0,0,0,0,0,15,2,372,0,0,90,0,2,1,2,1
92,-11,-9,-7.5,-2,0,15,2,380,0.5,0.5,90,0,2,1,2,1
93,12,-15,12,0,0,0,2,380,0.5,0.5,120,0,2,1,2,1
94,0,0,0,0,0,0,2,372,0,0,90,0,0,1,2,1
95,-15,-5,-7,-6,0,15,2,380,0.5,0.5,50,0,2,1,2,1
96,-5230.8999023438,-4802.1201171875,455.87100219727,0,0,5,2,380,0.5,0.5,120,2,2,1,2,1
97,0,0,0,8,2,-7,2,272,1.5,1.5,50,0,0,0,0,1
98,0,-1,1,0,1,-1,2,380,1.5,1.5,90,0,2,1,2,1
99,0,0,-3,0,0,0,2,380,0.5,0.5,90,0,2,1,2,1
100,-7134.6801757812,-2704.8500976562,254.20899963379,0,0,5,2,256,0,0,90,2,0,0,0,1
101,-7139.6801757812,-2704.8500976562,254.20899963379,0,0,0,2,256,0,0,90,2,0,0,0,1
102,0,-1,1.5,0,3,2,2,272,0,0,90,0,0,0,0,1
103,0,0,1.5,0,0,0,2,372,1.5,1.5,100,0,2,1,2,1
105,0,-5,5,0,0,3,2,256,1,1,120,0,0,0,0,1
106,0,0,0.20000000298,-10952.099609375,-1389.1500244141,40.22700119019,2,356,0,0,90,0,2,2,0,1
107,0,10,0,0,-10,0,2,96,0,0,90,0,0,0,0,0
108,0,5,9,0,-1,-10,2,96,0,0,110,0,0,0,0,0
109,0,-5,9,0,5,-9,2,96,0,0,110,0,0,0,0,0
110,0,25,0,0,-5,1,2,352,0,0,90,0,0,0,0,1
111,0,0,0.80000001192,0,0,1.5,2,356,0,0,90,0,2,1,0,1
112,100,100,100,0,0,10,2,16,0,0,75,0,0,0,0,0
113,30,30,30,0,0,10,2,16,0,0,75,0,0,0,0,0
114,0,0,1,0,0,4,2,375,0.20000000298,0.20000000298,110,0,0,1,2,1
115,0,-10,0,0,0,-3,2,368,0.20000000298,0.20000000298,110,0,0,0,1,1
116,0,-2,0,0,3,1,2,272,0.20000000298,0.20000000298,120,0,0,0,0,1
117,0,-10,5,0,0,0,2,380,0.5,0.5,90,0,2,0,1,1
118,-10622.700195312,-1083.3000488281,161.30099487305,-10624.200195312,-1064.7399902344,145.55799865723,2,0,0,0,100,2,2,2,0,0
119,0,0,0,0,0,2,2,372,0.10000000149,0.10000000149,90,0,2,1,2,1
120,0,0,0,0,5,0,2,372,0.10000000149,0.10000000149,90,0,2,0,0,1
121,0,-5,0,0,0,0,2,380,0.20000000298,0.20000000298,90,0,2,1,2,1
122,-5,-14,5,0,0,2,2,356,0.20000000298,0.20000000298,110,0,0,0,0,1
123,0,0,0,0,0,0,2,364,0.10000000149,0.10000000149,120,1,3,0,3,1
124,0,0,4,274.60299682617,-832.16802978516,154.48300170898,2,372,1,1,110,0,0,2,1,1
125,-8429.3896484375,-79.75640106201,322.79998779297,-8435,-77,320.10000610352,2,60,0,0,120,2,0,2,0,0
126,0,0,4,-35.75,-559.94500732422,162.9640045166,2,372,1,1,110,0,0,2,1,1
127,0,0,4,-170.46299743652,-298.32998657227,165.67100524902,2,372,1,1,110,0,0,2,1,1
128,0,0,4,-81.45839691162,-102.71399688721,147,2,372,1,1,110,0,0,2,1,1
129,0,2,3,-8383.3701171875,1483.0100097656,151.8990020752,2,16,0,0,60,0,2,2,1,0
130,0,-6,0,0,0,0,2,359,1,1,120,0,0,1,0,1
131,0,0,1,5,0,3,2,364,0,0,110,0,2,1,2,1
132,0,-1,0,0,1,0,2,380,1.5,1.5,90,0,2,1,2,1
133,0,2,1,-103.78600311279,-70.6483001709,147.00700378418,2,359,1,1,120,0,0,2,0,1
134,0,0,1.10000002384,0,1,0.80000001192,2,368,0.40000000596,0.40000000596,90,0,2,0,2,1
135,-83,170,100,-83,215,50,2,3,0,0,100,2,0,2,0,0
136,0,2,1,-107.68399810791,-287.80999755859,143.7799987793,2,359,1,1,120,0,0,2,0,1
137,0,2,1,-33.49110031128,-553.03302001953,151.1909942627,2,359,1,1,120,0,0,2,0,1
138,0,2,1,232.35899353027,-849.16198730469,147.56500244141,2,359,1,1,120,0,0,2,0,1
140,0,-6,1,0,0,3,2,364,0,0,110,0,2,1,2,1
141,0,-60,60,0,20,5,2,19,0,0,60,0,0,0,0,0
142,0,-1,-1,-5,100,5,2,364,0,0,40,0,2,0,2,1
143,0,-3,20,0,3,-20,2,16,0,0,40,0,0,0,0,0
144,0,0,2.40000009537,0,0,4,2,380,1,0,80,0,2,1,2,1
145,600,100,100,15,-11,5,2,124,1,1,0,0,0,0,3,0
146,0,-20,3,0,0,0,2,256,0,0,110,0,0,0,0,1
147,0,0,0.10000000149,0.10000000149,1.25,2,2,352,0,0,70,0,0,1,2,1
148,0,0,0,0,0.25,0.5,2,352,0,0,70,0,2,1,2,1
149,0,-1,0,0,1,0,2,380,0.30000001192,0.30000001192,120,0,2,1,2,1
150,-1768.8299560547,1426.6800537109,27.89629936218,-1768.8100585938,1422.3000488281,25.69659996033,2,352,0,0,65,2,3,2,3,1
151,3,15,6,0,5,5,2,380,1,1,90,0,0,0,3,1
152,0,0,0,0,0,0,2,380,2.5,2.5,90,0,2,1,2,1
153,0,-2,1,0,3,1,2,272,0.20000000298,0.20000000298,120,0,0,0,0,1
154,0,0,0,0,0,0,2,380,1,1,90,0,2,1,2,1
155,0,0,0,0,0,0,2,380,1,1,120,0,2,1,2,1
156,0,-10,-40,0,0,0,2,40,0.10000000149,0.10000000149,45,0,0,0,0,0
157,-10531,993,48,-10545,978,43,2,380,1,1,90,2,2,2,2,1
158,0,0,0,0,0,0,2,380,1,1,30,0,2,1,2,1
160,0,0,0,0,0,0,2,380,0.20000000298,0.20000000298,30,0,2,1,2,1
161,-8863.76953125,79.7100982666,183.96899414063,-8888,162.78100585938,155,2,380,1,1,90,2,2,2,2,1
164,0,0,0,0,0,0,2,380,0.20000000298,0.20000000298,20,0,2,1,2,1
166,0,-4,1.5,0,0,2,2,364,0,0,110,0,2,1,2,1
167,0,-2,1,0,10,0,2,272,1,1,120,0,0,0,0,1
170,0,0,0,0,0,0,2,380,1,1,20,0,2,1,2,1
171,-9326,531,273,-9309,492,253,2,380,1,1,90,2,0,2,0,1
172,0,0,0,-4093.1201171875,-2326.0100097656,139.62100219727,2,256,0,0,110,0,2,2,0,1
173,-9347.0498046875,494.78601074219,250.59199523926,0,0,0,2,380,1,1,90,2,2,1,2,1
175,-10834.5,-341.27398681641,15.13819980621,-10801,-345.18899536133,8,2,380,1,1,90,2,2,2,2,1
176,0,0,0,-10760.700195312,-349.36499023438,22.41069984436,2,380,1,1,90,0,2,2,2,1
177,0,-30,20,0,30,20,2,16,0.10000000149,0.10000000149,90,0,0,0,0,0
178,-4731.58984375,3883.6899414062,45,1,1,0,2,316,1,1,90,2,2,0,0,1
179,0,2,3,0,0,0,2,112,0,0,90,0,2,1,1,0
180,0,0,2.09999990463,0,0,4,2,368,0.40000000596,0.40000000596,90,0,2,1,2,1
181,0,0,2.09999990463,0,6,2,2,368,0.40000000596,0.40000000596,90,0,2,0,0,1
182,0,0,1.5,0,0,1,2,368,0.40000000596,0.40000000596,90,0,2,1,2,1
183,0,0,0,0,0,0,2,364,2,0.5,50,0,2,1,2,1
184,-5866,5402,-1206,-5838,5389,-1211,2,364,2,0.5,90,2,2,2,2,1
186,0,0,2.09999990463,0,0,20,2,368,0.40000000596,0.40000000596,120,0,2,1,2,1
187,590.87200927734,-793.23400878906,148.42500305176,575.15002441406,-776.36999511719,146.06700134277,2,364,0,0,50,2,2,2,2,1
188,-5997,5457,-1204,-5921,5377,-1182,2,364,2,0.5,90,2,2,2,2,1
189,0,0,0.5,10,0,20,2,368,0.40000000596,0.40000000596,125,0,2,1,2,1
190,0,0,0,0,0,0,2,380,0.5,2,120,0,2,1,2,1
191,0,-40,20,0,0,0,2,0,1,1,90,0,0,0,0,0
192,0,0,1.5,0,0,8,2,372,0.5,0.5,90,0,2,1,2,1
193,0,0,1.5,0,0,0,2,372,0.20000000298,0.20000000298,150,0,2,1,2,1
194,-328.34298706055,-77.59220123291,246.58000183106,-310.83401489258,-43.10480117798,220.88499450684,2,48,0,0,120,2,0,2,0,0
195,-326.25399780273,-74.03910064697,237.36700439453,-301.91900634766,-33.34439849854,227.55000305176,2,48,0,0,120,2,0,2,0,0
203,0,0,0,0,0,6,2,380,0.10000000149,0.10000000149,90,0,2,1,2,1
204,0,0,0,-8312,-4166,-80,2,380,0.10000000149,0.10000000149,50,0,2,2,2,1
205,0,0,0,0,0,6,2,380,2.5,2.5,50,0,2,1,2,1
206,0,0,0,0,10,-4,2,380,0.5,0.5,90,0,2,0,2,1
207,0,0,0,0,0,0,2,380,0.5,0.5,20,0,2,1,2,1
208,3940.3200683594,6569.2700195312,176.7559967041,0,-10,-10,2,380,0.5,0.5,90,2,0,0,0,1
209,0,0,0,0,0,0,2,380,0.5,0.5,120,0,2,1,2,1
210,0,0,0,0,0,0,2,892,0.20000000298,0.20000000298,50,0,1,1,1,1
211,0,0,0,0,0,10,2,380,0.20000000298,0.20000000298,90,0,1,1,1,1
212,0,0,0,0,0,0,2,380,2,2,120,0,1,1,1,1
213,1159,527,84,0,0,0,2,0,0,0,100,2,0,0,0,0
214,0,0,-20,0,0,0,2,0,0,0,180,0,2,0,0,0
215,3609.6799316406,7178.759765625,311.27801513672,3624.8701171875,7168.990234375,402.17401123047,2,316,0.20000000298,0.20000000298,50,2,0,2,0,1
216,0,0,0,0,0,0,2,380,1,1,90,0,1,1,1,1
217,4445.9501953125,-2132.7800292969,1225.3399658203,0,15,5,2,372,0,0,130,2,2,1,0,1
218,0,0,0,0,0,0,2,380,3,3,120,0,1,1,1,1
219,4084.3400878906,7229.8999023438,345,0,0,0,2,380,0.20000000298,0.20000000298,120,2,1,1,1,1
220,1160,524,-46,0,0,0,2,0,0,0,100,2,0,0,0,0
221,3667,6909,351,3700,6908,347,2,380,0.5,0.5,90,2,0,2,0,1
223,0,0,0,0,0,2,2,380,1,1,40,0,1,1,1,1
226,0,0,0,-5240,-4825,457,2,380,0.5,0.5,50,0,2,2,2,1
227,0,-10,4,0,0,0,2,19,0,0,100,0,0,1,0,0
228,0,10,4,0,0,0,2,19,0,0,100,0,0,1,0,0
232,5200,-2252,1293,0,5,0,2,368,0,0,90,2,0,0,0,1
233,1166,533,57,0,0,0,2,0,0,0,100,2,0,0,0,0
239,0,0,0,0,0,0,2,880,0.40000000596,0.40000000596,90,0,2,1,2,1
241,0,0,0,1653,-4351,29.29999923706,2,828,0.20000000298,0.20000000298,90,0,1,2,1,1
242,0,0,0,0,0,0,2,892,1,1,90,0,1,1,1,1
245,0,0,0,0,0,1.20000004768,2,892,0.20000000298,0.20000000298,50,0,1,1,1,1
246,0,0,0,0,0,0,2,892,0.20000000298,0.20000000298,90,0,1,1,1,1
247,1804,-4521,170,0,0,0,2,892,1,1,90,2,1,1,1,1
248,80,-50,0,0,0,0,2,892,1,1,90,0,1,1,1,1
249,10,-18,-11,3524,-734,200,2,892,0.20000000298,0.20000000298,120,0,1,2,1,1
250,-100,-80,0,0,0,0,2,892,1,1,90,0,1,1,1,1
252,80,-50,0,3496,-248,0,2,892,1,1,40,0,1,2,1,1
253,3280,-456,282,3263,-474,240,2,12,0,0,100,2,1,2,1,0
254,3300,-466,220,3263,-474,160,2,12,0,0,55,2,1,2,1,0
255,3290,-467,245,3257,-490,225,2,12,0,0,90,2,1,2,1,0
256,1125,-540,416,0,0,1.75,2,16,0.20000000298,0.20000000298,16,2,2,0,0,0
257,0,-10,0,0,0,-1,2,380,0.10000000149,0.10000000149,90,0,0,0,0,1
259,-171,-2897,108,0,0,1.75,2,16,0.20000000298,0.20000000298,16,2,2,0,0,0
260,0,0,0,-8415.5400390625,207.64599609375,158.08599853516,2,828,1,1,90,0,1,2,1,1
261,0,0,0,-8424.6904296875,205.89199829102,160.34199523926,2,828,1,1,90,0,1,2,1,1
265,0,0,0,0,0,0,2,620,0.10000000149,0.10000000149,90,1,0,0,0,0
266,0,0,0,-984.14801025391,-1685.1500244141,-37.81069946289,2,636,1,1,90,0,1,2,1,0
267,2039,-196,400,0,0,3,2,620,0.10000000149,0.10000000149,60,2,0,0,0,0
268,0,20,6,0,0,0,2,16,0,0,90,0,0,0,0,0
270,1365.3900146484,-559,350,1360.8599853516,-591.38397216797,339,2,512,0,0,120,2,1,2,0,0
271,0,0,0,-18.03000068665,5.63000011444,167,2,368,0.20000000298,0.10000000149,90,0,0,2,0,1
272,0,0,0,0,0,0,2,368,0.20000000298,0.10000000149,90,0,0,1,0,1
273,-1.9003200531,-1649,207.71899414063,0,0,0,2,0,0.5,0.5,90,2,0,0,0,0
274,-753.31701660156,1311.0300292969,176.4409942627,-754.14801025391,1334.1700439453,167.66400146484,2,0,0.20000000298,0.05000000075,90,2,0,2,0,0
275,237.41000366211,1969.0999755859,173.5299987793,252.46200561523,1960.3699951172,167.42999267578,2,512,0,0,70,2,0,2,0,0
277,237.41000366211,1969.0999755859,173.5299987793,252.05700683594,1964.7399902344,167.60000610352,2,512,0,0,70,2,0,2,0,0
278,237.41000366211,1969.0999755859,173.5299987793,251,1963.9599609375,167.89999389648,2,512,0,0,70,2,0,2,0,0
280,0,0,0,0,5,-2,2,284,0,0,90,0,0,0,0,1
281,0,-8,2,0,15,4,2,48,1.20000004768,1,110,0,0,0,0,0
282,0,-2,10,0,2,-10,2,520,0,1,140,0,0,0,0,0
283,0,0,0,0,2,-1,2,768,0.10000000149,0.10000000149,90,0,0,0,0,1
284,0,0,0,0,0,0,2,892,0.10000000149,0.10000000149,90,0,0,1,2,1
285,0,0,0,0,0,0,2,892,0.10000000149,0.10000000149,65,0,0,1,2,1
287,7.9310002327,-1643.8699951172,197,0,0,7,2,0,1,1,90,2,0,0,0,0
290,0,0,0,-878.59399414063,139.80000305176,15,2,256,0.10000000149,0.10000000149,90,0,0,2,0,1
292,0,0,0,271,1957,170,2,256,0.10000000149,0.10000000149,90,0,0,2,0,1
293,0,0,0,0,0,0,2,892,0.10000000149,0,90,0,0,1,2,1
294,0,0,0,271,1957,170,2,256,0.10000000149,0.10000000149,50,0,0,2,0,1
297,0,10,10,0,0,0,2,0,0,0,120,0,0,1,2,0
298,1206.4399414062,443.94299316406,45,1203.4399414062,444.08499145508,1,2,15,0,0,100,2,1,2,1,0
299,517.84997558594,-1676.3000488281,207,0,0,0,2,620,0.10000000149,0.10000000149,90,2,0,0,0,0
300,0,7,5,0,0,0,2,60,0,0,100,0,0,0,0,0
301,-310,2301,237,0,0,0,2,0,0,0,80,2,0,0,0,0
302,-13156.400390625,292.43701171875,44.21269989014,-13189,270.86199951172,26,2,524,0.10000000149,0.10000000149,50,2,2,2,2,0
303,-13210,320.22399902344,41.62210083008,-13200,270.86199951172,28,2,524,0.10000000149,0.10000000149,60,2,2,2,2,0
304,2252.3200683594,936.81500244141,498.14401245117,2317.169921875,948.66101074219,484.83499145508,2,256,0,0,90,2,0,2,0,1
305,2278.9899902344,995.11297607422,498.46701049805,2283.419921875,912.70098876953,483.73699951172,2,256,0,0,90,2,0,2,0,1
306,2274.6799316406,921.78302001953,486.23400878906,2271.5900878906,904.45098876953,484.08099365234,2,256,0,0,90,2,0,2,0,1
307,-13208,260,30,-13208,270,21,2,11,0,0,90,2,0,2,0,0
308,0,-15,10,0,0,0,2,60,0,0,90,0,0,0,0,0
309,0,-8,10,0,0,5,2,0,1,1,90,0,0,0,0,0
310,0,-2,2,0,0,0,2,2,0.5,0.5,90,0,0,0,0,0
311,2276.1599121094,969.09301757813,496.03799438477,2284.6799316406,948.30700683594,489.67199707031,2,256,0,0,90,2,0,2,0,1
312,-1,-1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
313,0,30,5,0,0,0,2,16,0,0,90,0,0,0,0,0
314,2146.8798828125,1413.4599609375,513.69097900391,2132.3500976562,1458.1300048828,502.60998535156,2,256,0,0,90,2,0,2,0,1
315,2085.3400878906,1413.5699462891,508.45599365234,2134.7199707031,1459.3599853516,494.21899414063,2,256,0,0,90,2,0,2,0,1
316,222.58500671387,3939.3701171875,107.63800048828,264.10598754883,3970.5500488281,87.21430206299,2,256,0,0,90,2,0,2,0,1
326,2104.5300292969,1433.4000244141,504.1789855957,2145.1298828125,1460.6500244141,487.88598632813,2,256,0,0,90,2,0,2,0,1
327,2147.6999511719,1461.2099609375,492.17999267578,2168.7600097656,1474.3299560547,487.8869934082,2,256,0,0,90,2,0,2,0,1
328,213.00700378418,3963.3999023438,105.1370010376,264.10598754883,3970.5500488281,87.21430206299,2,256,0,0,90,2,0,2,0,1
329,213.03999328613,3990.6999511719,101.19799804688,264.10598754883,3970.5500488281,87.21430206299,2,256,0,0,90,2,0,2,0,1
330,226.48300170898,4013.8999023438,97.36620330811,264.10598754883,3970.5500488281,87.21430206299,2,256,0,0,90,2,0,2,0,1
331,241.10099792481,4026.8400878906,94.44249725342,264.10598754883,3970.5500488281,87.21430206299,2,256,0,0,90,2,0,2,0,1
332,248.24699401856,4017.7299804688,89.09719848633,246.56900024414,3941.6499023438,75.93669891357,2,256,0,0,90,2,0,2,0,1
333,247.54499816895,3992.5400390625,78.61139678955,246.56900024414,3941.6499023438,75.93669891357,2,256,0,0,90,2,0,2,0,1
335,8,-4,3.5,0,0,0.83333301544,2,1036,0,0,90,0,2,1,2,0
336,12.75,-6.75,6,0,-1,1,2,1036,0,0,90,0,2,1,2,0
337,3630.080078125,1662.2600097656,747.93701171875,3651,1660.3499755859,748.46099853516,2,256,0,0,90,2,0,2,0,1
338,3698.7099609375,1656.4000244141,750.86999511719,3712.9499511719,1655.2700195312,752.58099365234,2,256,0,0,90,2,0,2,0,1
339,3722.2900390625,1659.2399902344,754,3740.9599609375,1657.9000244141,756,2,256,0,0,90,2,0,2,0,1
340,3744.8400878906,1657.1999511719,760.88500976563,3749.1398925781,1656.8399658203,756.57598876953,2,256,0,0,90,2,0,2,0,1
341,3633.1899414062,1798.4899902344,748.58099365234,3630.830078125,1791.5400390625,747.14599609375,2,256,0,0,90,2,0,2,0,1
342,3619.5500488281,1773.8100585938,750.48797607422,3618.669921875,1765.6199951172,747.88800048828,2,256,0,0,90,2,0,2,0,1
343,3617.9799804688,1754.1300048828,753.28900146484,3616.7600097656,1738.8100585938,750.36602783203,2,256,0,0,90,2,0,2,0,1
344,3608.7399902344,1668.4300537109,749.58801269531,3604.1000976562,1623.7199707031,742.6669921875,2,256,0,0,90,2,0,2,0,1
345,3624.8701171875,1806.3499755859,751.56402587891,3628.2299804688,1801.7199707031,749.26599121094,2,256,0,0,90,2,0,2,0,1
346,3620.1201171875,1793.8599853516,754.60797119141,3619.6101074219,1780.9599609375,754.23498535156,2,256,0,0,90,2,0,2,0,1
347,3611.6999511719,1667.7099609375,752.9580078125,3610.6799316406,1654.1800537109,753.27600097656,2,256,0,0,90,2,0,2,0,1
348,4542.58984375,138.30599975586,64.67109680176,4569.5600585938,138.51499938965,46.54999923706,2,256,0,0,90,2,0,2,0,1
349,4542.58984375,138.30599975586,64.67109680176,4578.7001953125,119.72299957275,62.33000183105,2,256,0,0,90,2,0,2,0,1
350,4614.669921875,84.4700012207,62.0299987793,4657.330078125,75.11000061035,53.81999969482,2,256,0,0,90,2,0,2,0,1
351,4785.7900390625,54.75109863281,11.02000045776,4834.5600585938,54.54999923706,11.27999973297,2,256,0,0,90,2,0,2,0,1
352,4892.7797851562,58.68000030518,11.88000011444,4951.4799804688,55.66999816895,13.27000045776,2,256,0,0,90,2,0,2,0,1
353,5023.1098632812,50.91999816895,14.81000041962,5075.759765625,68.4700012207,18.30999946594,2,256,0,0,90,2,0,2,0,1
354,5140.0400390625,101.5299987793,19.37000083923,5162.83984375,91.76000213623,24.29999923706,2,256,0,0,90,2,0,2,0,1
355,5201.5400390625,48.24000167847,49.61000061035,5213.2202148438,51.5299987793,43.66999816895,2,256,0,0,90,2,0,2,0,1
356,5209.1098632812,70.84380340576,34.96319961548,5228.0600585938,62.06999969482,37,2,256,0,0,90,2,0,2,0,1
357,5238.75,67.00849914551,36.58100128174,5234.7001953125,56.6754989624,37,2,256,0,0,90,2,0,2,0,1
