ID,EpicF_0,EpicF_1,SuperiorF_0,SuperiorF_1,GoodF_0,GoodF_1,Epic_0,Epic_1,Superior_0,Superior_1,Good_0,Good_1
146,13064.521484375,10451.616210938,13064.521484375,10451.616210938,13064.521484375,10451.616210938,13064,10451,13064,10451,13064,10451
147,13227.827148438,10582.26171875,13227.827148438,10582.26171875,13227.827148438,10582.26171875,13227,10582,13227,10582,13227,10582
148,13393.174804688,10714.540039062,13393.174804688,10714.540039062,13393.174804688,10714.540039062,13393,10714,13393,10714,13393,10714
149,13560.588867188,10848.471679688,13560.588867188,10848.471679688,13560.588867188,10848.471679688,13560,10848,13560,10848,13560,10848
150,13730.096679688,10984.077148438,13730.096679688,10984.077148438,13730.096679688,10984.077148438,13730,10984,13730,10984,13730,10984
151,13901.72265625,11121.377929688,13901.72265625,11121.377929688,13901.72265625,11121.377929688,13901,11121,13901,11121,13901,11121
152,14075.494140625,11260.396484375,14075.494140625,11260.396484375,14075.494140625,11260.396484375,14075,11260,14075,11260,14075,11260
153,14251.438476562,11401.150390625,14251.438476562,11401.150390625,14251.438476562,11401.150390625,14251,11401,14251,11401,14251,11401
154,14429.581054688,11543.665039062,14429.581054688,11543.665039062,14429.581054688,11543.665039062,14429,11543,14429,11543,14429,11543
155,14609.951171875,11687.9609375,14609.951171875,11687.9609375,14609.951171875,11687.9609375,14609,11687,14609,11687,14609,11687
156,14792.575195312,11834.060546875,14792.575195312,11834.060546875,14792.575195312,11834.060546875,14792,11834,14792,11834,14792,11834
157,14977.482421875,11981.986328125,14977.482421875,11981.986328125,14977.482421875,11981.986328125,14977,11981,14977,11981,14977,11981
158,15164.701171875,12131.760742188,15164.701171875,12131.760742188,15164.701171875,12131.760742188,15164,12131,15164,12131,15164,12131
159,0,0,0,0,0,0,0,0,0,0,0,0
180,5754.6826171875,4603.74609375,5754.6826171875,4603.74609375,5754.6826171875,4603.74609375,5754,4603,5754,4603,5754,4603
181,5826.6157226562,4661.29296875,5826.6157226562,4661.29296875,5826.6157226562,4661.29296875,5826,4661,5826,4661,5826,4661
182,5899.4487304688,4719.5590820312,5899.4487304688,4719.5590820312,5899.4487304688,4719.5590820312,5899,4719,5899,4719,5899,4719
183,5973.1918945312,4778.5532226562,5973.1918945312,4778.5532226562,5973.1918945312,4778.5532226562,5973,4778,5973,4778,5973,4778
184,6047.8564453125,4838.28515625,6047.8564453125,4838.28515625,6047.8564453125,4838.28515625,6047,4838,6047,4838,6047,4838
185,6123.455078125,4898.763671875,6123.455078125,4898.763671875,6123.455078125,4898.763671875,6123,4898,6123,4898,6123,4898
186,6199.998046875,4959.9985351562,6199.998046875,4959.9985351562,6199.998046875,4959.9985351562,6199,4959,6199,4959,6199,4959
187,6277.498046875,5021.9985351562,6277.498046875,5021.9985351562,6277.498046875,5021.9985351562,6277,5021,6277,5021,6277,5021
188,6355.966796875,5084.7734375,6355.966796875,5084.7734375,6355.966796875,5084.7734375,6355,5084,6355,5084,6355,5084
189,6435.4165039062,5148.3330078125,6435.4165039062,5148.3330078125,6435.4165039062,5148.3330078125,6435,5148,6435,5148,6435,5148
190,6515.8588867188,5212.6870117188,6515.8588867188,5212.6870117188,6515.8588867188,5212.6870117188,6515,5212,6515,5212,6515,5212
191,6597.3071289062,5277.845703125,6597.3071289062,5277.845703125,6597.3071289062,5277.845703125,6597,5277,6597,5277,6597,5277
192,6679.7734375,5343.8188476562,6679.7734375,5343.8188476562,6679.7734375,5343.8188476562,6679,5343,6679,5343,6679,5343
193,6763.2709960938,5410.6166992188,6763.2709960938,5410.6166992188,6763.2709960938,5410.6166992188,6763,5410,6763,5410,6763,5410
194,6847.8115234375,5478.2495117188,6847.8115234375,5478.2495117188,6847.8115234375,5478.2495117188,6847,5478,6847,5478,6847,5478
195,6933.4091796875,5546.7275390625,6933.4091796875,5546.7275390625,6933.4091796875,5546.7275390625,6933,5546,6933,5546,6933,5546
196,7020.0771484375,5616.0615234375,7020.0771484375,5616.0615234375,7020.0771484375,5616.0615234375,7020,5616,7020,5616,7020,5616
197,7107.828125,5686.2622070312,7107.828125,5686.2622070312,7107.828125,5686.2622070312,7107,5686,7107,5686,7107,5686
198,7196.67578125,5757.3408203125,7196.67578125,5757.3408203125,7196.67578125,5757.3408203125,7196,5757,7196,5757,7196,5757
199,7286.6342773438,5829.3071289062,7286.6342773438,5829.3071289062,7286.6342773438,5829.3071289062,7286,5829,7286,5829,7286,5829
200,7377.7172851562,5902.173828125,7377.7172851562,5902.173828125,7377.7172851562,5902.173828125,7377,5902,7377,5902,7377,5902
201,7469.9384765625,5975.9506835938,7469.9384765625,5975.9506835938,7469.9384765625,5975.9506835938,7469,5975,7469,5975,7469,5975
202,7563.3129882812,6050.650390625,7563.3129882812,6050.650390625,7563.3129882812,6050.650390625,7563,6050,7563,6050,7563,6050
203,7657.8540039062,6126.283203125,7657.8540039062,6126.283203125,7657.8540039062,6126.283203125,7657,6126,7657,6126,7657,6126
204,7753.5776367188,6202.8618164062,7753.5776367188,6202.8618164062,7753.5776367188,6202.8618164062,7753,6202,7753,6202,7753,6202
205,7850.4970703125,6280.3974609375,7850.4970703125,6280.3974609375,7850.4970703125,6280.3974609375,7850,6280,7850,6280,7850,6280
206,7948.6284179688,6358.9028320312,7948.6284179688,6358.9028320312,7948.6284179688,6358.9028320312,7948,6358,7948,6358,7948,6358
207,8047.986328125,6438.3891601562,8047.986328125,6438.3891601562,8047.986328125,6438.3891601562,8047,6438,8047,6438,8047,6438
208,8148.5859375,6518.8686523438,8148.5859375,6518.8686523438,8148.5859375,6518.8686523438,8148,6518,8148,6518,8148,6518
209,8250.443359375,6600.3544921875,8250.443359375,6600.3544921875,8250.443359375,6600.3544921875,8250,6600,8250,6600,8250,6600
210,8353.57421875,6682.8588867188,8353.57421875,6682.8588867188,8353.57421875,6682.8588867188,8353,6682,8353,6682,8353,6682
211,8457.9931640625,6766.3950195312,8457.9931640625,6766.3950195312,8457.9931640625,6766.3950195312,8457,6766,8457,6766,8457,6766
212,8563.71875,6850.974609375,8563.71875,6850.974609375,8563.71875,6850.974609375,8563,6850,8563,6850,8563,6850
213,8670.7646484375,6936.6118164062,8670.7646484375,6936.6118164062,8670.7646484375,6936.6118164062,8670,6936,8670,6936,8670,6936
214,8779.1494140625,7023.3198242188,8779.1494140625,7023.3198242188,8779.1494140625,7023.3198242188,8779,7023,8779,7023,8779,7023
215,8888.888671875,7111.111328125,8888.888671875,7111.111328125,8888.888671875,7111.111328125,8888,7111,8888,7111,8888,7111
216,9000,7200,9000,7200,9000,7200,9000,7200,9000,7200,9000,7200
217,9112.5,7290,9112.5,7290,9112.5,7290,9112,7290,9112,7290,9112,7290
218,9226.40625,7381.125,9226.40625,7381.125,9226.40625,7381.125,9226,7381,9226,7381,9226,7381
219,9341.736328125,7473.3891601562,9341.736328125,7473.3891601562,9341.736328125,7473.3891601562,9341,7473,9341,7473,9341,7473
220,9458.5078125,7566.806640625,9458.5078125,7566.806640625,9458.5078125,7566.806640625,9458,7566,9458,7566,9458,7566
221,9576.7392578125,7661.3916015625,9576.7392578125,7661.3916015625,9576.7392578125,7661.3916015625,9576,7661,9576,7661,9576,7661
222,9696.4482421875,7757.1586914062,9696.4482421875,7757.1586914062,9696.4482421875,7757.1586914062,9696,7757,9696,7757,9696,7757
223,9817.654296875,7854.1235351562,9817.654296875,7854.1235351562,9817.654296875,7854.1235351562,9817,7854,9817,7854,9817,7854
224,9940.375,7952.2998046875,9940.375,7952.2998046875,9940.375,7952.2998046875,9940,7952,9940,7952,9940,7952
225,10064.629882812,8051.7036132812,10064.629882812,8051.7036132812,10064.629882812,8051.7036132812,10064,8051,10064,8051,10064,8051
226,10190.438476562,8152.3500976562,10190.438476562,8152.3500976562,10190.438476562,8152.3500976562,10190,8152,10190,8152,10190,8152
227,10317.818359375,8254.25390625,10317.818359375,8254.25390625,10317.818359375,8254.25390625,10317,8254,10317,8254,10317,8254
228,10446.791015625,8357.4326171875,10446.791015625,8357.4326171875,10446.791015625,8357.4326171875,10446,8357,10446,8357,10446,8357
229,10577.375976562,8461.900390625,10577.375976562,8461.900390625,10577.375976562,8461.900390625,10577,8461,10577,8461,10577,8461
230,10709.592773438,8567.673828125,10709.592773438,8567.673828125,10709.592773438,8567.673828125,10709,8567,10709,8567,10709,8567
231,10843.462890625,8674.7705078125,10843.462890625,8674.7705078125,10843.462890625,8674.7705078125,10843,8674,10843,8674,10843,8674
232,10979.005859375,8783.205078125,10979.005859375,8783.205078125,10979.005859375,8783.205078125,10979,8783,10979,8783,10979,8783
233,11116.243164062,8892.9951171875,11116.243164062,8892.9951171875,11116.243164062,8892.9951171875,11116,8892,11116,8892,11116,8892
