Level	Unused 0	Defense Skill	Dodge	Parry	Block	Hit - Melee	Hit - Ranged	Hit - Spell	Crit - Melee	Crit - Ranged	Crit - Spell	Corruption	Corruption Resistance	Speed	Resilience - Crit Taken	Resilience - Player Damage	Lifesteal	Haste - Melee	Haste - Ranged	Haste - Spell	Avoidance	Sturdiness	Unused 7	Expertise	Armor Penetration	Mastery	PvP Power	Unused 27	Versatility - Damage Done	Versatility - Healing Done	Versatility - Damage Taken	Unused 12
35	0	0.64235537	6.051087399	6.051087399	2.676480709	2.94412878	2.94412878	2.94412878	5.352885007	5.352885007	5.352885007	1	1	1.338240354	0	2.676480709	8.029442126	5.120150876	5.120150876	5.120150876	4.282369134	0.535296142	0	2.94412878	0	5.352885007	2.355303024	0	6.28382153	6.28382153	12.56764306	0
36	0	0.652204819	6.143870739	6.143870739	2.71752008	2.989272088	2.989272088	2.989272088	5.434962577	5.434962577	5.434962577	1	1	1.35876004	0	2.71752008	8.152560239	5.198659856	5.198659856	5.198659856	4.348032127	0.543504016	0	2.989272088	0	5.434962577	2.39141767	0	6.38017346	6.38017346	12.76034692	0
37	0	0.662422695	6.240124714	6.240124714	2.760094561	3.036104017	3.036104017	3.036104017	5.520110324	5.520110324	5.520110324	1	1	1.38004728	0	2.760094561	8.280283682	5.280105527	5.280105527	5.280105527	4.416151297	0.552018912	0	3.036104017	0	5.520110324	2.428883214	0	6.480129511	6.480129511	12.96025902	0
38	0	0.673021458	6.33996671	6.33996671	2.804256074	3.084681681	3.084681681	3.084681681	5.608432089	5.608432089	5.608432089	1	1	1.402128037	0	2.804256074	8.412768221	5.364587216	5.364587216	5.364587216	4.486809718	0.560851215	0	3.084681681	0	5.608432089	2.467745345	0	6.583811583	6.583811583	13.16762317	0
39	0	0.684014142	6.443519499	6.443519499	2.850058923	3.135064815	3.135064815	3.135064815	5.70003648	5.70003648	5.70003648	1	1	1.425029461	0	2.850058923	8.550176769	5.452208807	5.452208807	5.452208807	4.560094277	0.570011785	0	3.135064815	0	5.70003648	2.508051852	0	6.691347172	6.691347172	13.38269434	0
40	0	0.695414377	6.550911491	6.550911491	2.897559905	3.187315896	3.187315896	3.187315896	5.795037088	5.795037088	5.795037088	1	1	1.448779953	0	2.897559905	8.692679715	5.543078954	5.543078954	5.543078954	4.636095848	0.579511981	0	3.187315896	0	5.795037088	2.549852716	0	6.802869625	6.802869625	13.60573925	0
41	0	0.707236422	6.662276986	6.662276986	2.946818423	3.241500266	3.241500266	3.241500266	5.893552718	5.893552718	5.893552718	1	1	1.473409212	0	2.946818423	8.84045527	5.637311296	5.637311296	5.637311296	4.714909477	0.589363685	0	3.241500266	0	5.893552718	2.593200213	0	6.918518409	6.918518409	13.83703682	0
42	0	0.719495186	6.777756454	6.777756454	2.997896609	3.29768627	3.29768627	3.29768627	5.995707632	5.995707632	5.995707632	1	1	1.498948305	0	2.997896609	8.993689828	5.735024692	5.735024692	5.735024692	4.796634575	0.599579322	0	3.29768627	0	5.995707632	2.638149016	0	7.038439394	7.038439394	14.07687879	0
43	0	0.732206268	6.897496818	6.897496818	3.05085945	3.355945394	3.355945394	3.355945394	6.1016318	6.1016318	6.1016318	1	1	1.525429725	0	3.05085945	9.152578349	5.836343461	5.836343461	5.836343461	4.881375119	0.61017189	0	3.355945394	0	6.1016318	2.684756316	0	7.162785157	7.162785157	14.32557031	0
44	0	0.745385981	7.021651761	7.021651761	3.10577492	3.416352412	3.416352412	3.416352412	6.211461173	6.211461173	6.211461173	1	1	1.55288746	0	3.10577492	9.317324759	5.941397644	5.941397644	5.941397644	4.969239871	0.621154984	0	3.416352412	0	6.211461173	2.733081929	0	7.29171529	7.29171529	14.58343058	0
45	0	0.75905139	7.150382043	7.150382043	3.162714126	3.478985539	3.478985539	3.478985539	6.325337961	6.325337961	6.325337961	1	1	1.581357063	0	3.162714126	9.488142379	6.050323267	6.050323267	6.050323267	5.060342602	0.632542825	0	3.478985539	0	6.325337961	2.783188431	0	7.425396737	7.425396737	14.85079347	0
46	0	0.77322035	7.283855841	7.283855841	3.221751457	3.543926603	3.543926603	3.543926603	6.443410936	6.443410936	6.443410936	1	1	1.610875728	0	3.221751457	9.665254371	6.163262635	6.163262635	6.163262635	5.154802331	0.644350291	0	3.543926603	0	6.443410936	2.835141282	0	7.564004143	7.564004143	15.12800829	0
47	0	0.787911536	7.422249102	7.422249102	3.282964735	3.611261208	3.611261208	3.611261208	6.565835744	6.565835744	6.565835744	1	1	1.641482367	0	3.282964735	9.848894204	6.280364625	6.280364625	6.280364625	5.252743575	0.656592947	0	3.611261208	0	6.565835744	2.889008966	0	7.707720221	7.707720221	15.41544044	0
48	0	0.803144493	7.565745918	7.565745918	3.346435386	3.681078925	3.681078925	3.681078925	6.692775235	6.692775235	6.692775235	1	1	1.673217693	0	3.346435386	10.03930616	6.401785008	6.401785008	6.401785008	5.354296618	0.669287077	0	3.681078925	0	6.692775235	2.94486314	0	7.856736146	7.856736146	15.71347229	0
49	0	0.818939668	7.714538921	7.714538921	3.412248615	3.753473477	3.753473477	3.753473477	6.824399815	6.824399815	6.824399815	1	1	1.706124308	0	3.412248615	10.23674585	6.527686779	6.527686779	6.527686779	5.459597785	0.682449723	0	3.753473477	0	6.824399815	3.002778781	0	8.011251956	8.011251956	16.02250391	0
50	0	0.835318461	7.868829699	7.868829699	3.480493588	3.828542946	3.828542946	3.828542946	6.960887811	6.960887811	6.960887811	1	1	1.740246794	0	3.480493588	10.44148076	6.658240515	6.658240515	6.658240515	5.56878974	0.696098718	0	3.828542946	0	6.960887811	3.062834357	0	8.171476996	8.171476996	16.34295399	0
51	0	0.85230327	8.028829237	8.028829237	3.551263624	3.906389986	3.906389986	3.906389986	7.102425863	7.102425863	7.102425863	1	1	1.775631812	0	3.551263624	10.65379087	6.793624739	6.793624739	6.793624739	5.682021798	0.710252725	0	3.906389986	0	7.102425863	3.125111989	0	8.337630361	8.337630361	16.67526072	0
52	0	0.869917537	8.194758374	8.194758374	3.624656405	3.987122046	3.987122046	3.987122046	7.249209331	7.249209331	7.249209331	1	1	1.812328203	0	3.624656405	10.87396922	6.934026317	6.934026317	6.934026317	5.799450249	0.724931281	0	3.987122046	0	7.249209331	3.189697637	0	8.509941389	8.509941389	17.01988278	0
53	0	0.888185806	8.3668483	8.3668483	3.70077419	4.070851609	4.070851609	4.070851609	7.401442727	7.401442727	7.401442727	1	1	1.850387095	0	3.70077419	11.10232257	7.079640869	7.079640869	7.079640869	5.921238704	0.740154838	0	4.070851609	0	7.401442727	3.256681287	0	8.688650158	8.688650158	17.37730032	0
54	0	0.907133769	8.545341064	8.545341064	3.779724039	4.157696443	4.157696443	4.157696443	7.559340172	7.559340172	7.559340172	1	1	1.88986202	0	3.779724039	11.33917212	7.230673208	7.230673208	7.230673208	6.047558463	0.755944808	0	4.157696443	0	7.559340172	3.326157155	0	8.874008028	8.874008028	17.74801606	0
55	0	0.926788334	8.73049012	8.73049012	3.86161806	4.247779866	4.247779866	4.247779866	7.723125876	7.723125876	7.723125876	1	1	1.93080903	0	3.86161806	11.58485418	7.387337794	7.387337794	7.387337794	6.178588896	0.772323612	0	4.247779866	0	7.723125876	3.398223893	0	9.066278202	9.066278202	18.1325564	0
56	0	0.947177678	8.922560903	8.922560903	3.946573658	4.341231023	4.341231023	4.341231023	7.893034645	7.893034645	7.893034645	1	1	1.973286829	0	3.946573658	11.83972097	7.549859225	7.549859225	7.549859225	6.314517852	0.789314732	0	4.341231023	0	7.893034645	3.472984819	0	9.265736322	9.265736322	18.53147264	0
57	0	0.968331313	9.12183143	9.12183143	4.034713803	4.438185183	4.438185183	4.438185183	8.069312419	8.069312419	8.069312419	1	1	2.017356901	0	4.034713803	12.10414141	7.718472748	7.718472748	7.718472748	6.455542084	0.806942761	0	4.438185183	0	8.069312419	3.550548146	0	9.4726711	9.4726711	18.9453422	0
58	0	0.990280156	9.328592942	9.328592942	4.126167315	4.538784047	4.538784047	4.538784047	8.252216833	8.252216833	8.252216833	1	1	2.063083658	0	4.126167315	12.37850195	7.893424797	7.893424797	7.893424797	6.601867705	0.825233463	0	4.538784047	0	8.252216833	3.631027238	0	9.687384978	9.687384978	19.37476996	0
59	0	1.013056599	9.54315058	9.54315058	4.221069164	4.64317608	4.64317608	4.64317608	8.442017821	8.442017821	8.442017821	1	1	2.110534582	0	4.221069164	12.66320749	8.074973567	8.074973567	8.074973567	6.753710662	0.844213833	0	4.64317608	0	8.442017821	3.714540864	0	9.910194833	9.910194833	19.82038967	0
60	0	1.036694587	9.765824093	9.765824093	4.319560778	4.751516855	4.751516855	4.751516855	8.638998236	8.638998236	8.638998236	1	1	2.159780389	0	4.319560778	12.95868233	8.263389617	8.263389617	8.263389617	6.911297244	0.863912156	0	4.751516855	0	8.638998236	3.801213484	0	10.14143271	10.14143271	20.28286542	0
61	0	1.061229692	9.996948597	9.996948597	4.421790383	4.863969421	4.863969421	4.863969421	8.843454528	8.843454528	8.843454528	1	1	2.210895191	0	4.421790383	13.26537115	8.458956505	8.458956505	8.458956505	7.074864612	0.884358077	0	4.863969421	0	8.843454528	3.891175537	0	10.38144662	10.38144662	20.76289324	0
62	0	1.086699204	10.23687536	10.23687536	4.527913352	4.980704687	4.980704687	4.980704687	9.055697437	9.055697437	9.055697437	1	1	2.263956676	0	4.527913352	13.58374006	8.661971461	8.661971461	8.661971461	7.244661363	0.90558267	0	4.980704687	0	9.055697437	3.98456375	0	10.63060134	10.63060134	21.26120268	0
63	0	1.113142218	10.48597266	10.48597266	4.638092577	5.101901834	5.101901834	5.101901834	9.276052741	9.276052741	9.276052741	1	1	2.319046288	0	4.638092577	13.91427773	8.8727461	8.8727461	8.8727461	7.420948123	0.927618515	0	5.101901834	0	9.276052741	4.081521467	0	10.8892793	10.8892793	21.77855861	0
64	0	1.140599726	10.74462666	10.74462666	4.75249886	5.227748746	5.227748746	5.227748746	9.504862042	9.504862042	9.504862042	1	1	2.37624943	0	4.75249886	14.25749658	9.09160717	9.09160717	9.09160717	7.603998176	0.950499772	0	5.227748746	0	9.504862042	4.182198997	0	11.15788153	11.15788153	22.31576305	0
65	0	1.16911472	11.01324232	11.01324232	4.871311332	5.358442465	5.358442465	5.358442465	9.742483593	9.742483593	9.742483593	1	1	2.435655666	0	4.871311332	14.613934	9.31889735	9.31889735	9.31889735	7.794098131	0.974262266	0	5.358442465	0	9.742483593	4.286753972	0	11.43682857	11.43682857	22.87365713	0
66	0	1.198732293	11.29224446	11.29224446	4.994717885	5.494189674	5.494189674	5.494189674	9.989293177	9.989293177	9.989293177	1	1	2.497358943	0	4.994717885	14.98415366	9.554976083	9.554976083	9.554976083	7.991548617	0.998943577	0	5.494189674	0	9.989293177	4.395351739	0	11.72656156	11.72656156	23.45312311	0
67	0	1.229499755	11.58207874	11.58207874	5.122915645	5.635207209	5.635207209	5.635207209	10.24568504	10.24568504	10.24568504	1	1	2.561457822	0	5.122915645	15.36874693	9.800220469	9.800220469	9.800220469	8.196665031	1.024583129	0	5.635207209	0	10.24568504	4.508165767	0	12.0275433	12.0275433	24.0550866	0
68	0	1.261466748	11.88321278	11.88321278	5.256111451	5.781722596	5.781722596	5.781722596	10.51207285	10.51207285	10.51207285	1	1	2.628055726	0	5.256111451	15.76833435	10.0550262	10.0550262	10.0550262	8.409778322	1.05122229	0	5.781722596	0	10.51207285	4.625378077	0	12.34025943	12.34025943	24.68051886	0
69	0	1.294685373	12.19613739	12.19613739	5.394522386	5.933974625	5.933974625	5.933974625	10.78889076	10.78889076	10.78889076	1	1	2.697261193	0	5.394522386	16.18356716	10.31980856	10.31980856	10.31980856	8.631235818	1.078904477	0	5.933974625	0	10.78889076	4.7471797	0	12.66521959	12.66521959	25.33043919	0
70	0	1.329210316	12.52136772	12.52136772	5.538376316	6.092213948	6.092213948	6.092213948	11.07659452	11.07659452	11.07659452	1	1	2.769188158	1	5.538376316	16.61512895	10.59500345	10.59500345	10.59500345	8.861402106	1.107675263	1	6.092213948	1	11.07659452	4.873771158	1	13.00295878	13.00295878	26.00591756	1
71	0	1.341653061	12.63858031	12.63858031	5.590221088	6.149243196	6.149243196	6.149243196	11.18028258	11.18028258	11.18028258	1	1	2.795110544	2	5.590221088	16.77066326	10.69418334	10.69418334	10.69418334	8.94435374	1.118044218	2	6.149243196	2	11.18028258	4.919394557	2	13.12467955	13.12467955	26.2493591	2
72	0	1.354212283	12.75689013	12.75689013	5.642551178	6.206806296	6.206806296	6.206806296	11.28494127	11.28494127	11.28494127	1	1	2.821275589	3	5.642551178	16.92765353	10.79429165	10.79429165	10.79429165	9.028081885	1.128510236	3	6.206806296	3	11.28494127	4.965445037	3	13.24753975	13.24753975	26.4950795	3
73	0	1.366889071	12.87630745	12.87630745	5.695371131	6.264908244	6.264908244	6.264908244	11.39057967	11.39057967	11.39057967	1	1	2.847685565	4	5.695371131	17.08611339	10.89533707	10.89533707	10.89533707	9.112593809	1.139074226	4	6.264908244	4	11.39057967	5.011926595	4	13.37155004	13.37155004	26.74310008	4
74	0	1.379684528	12.99684263	12.99684263	5.748685531	6.323554084	6.323554084	6.323554084	11.49720694	11.49720694	11.49720694	1	1	2.874342766	5	5.748685531	17.24605659	10.99732838	10.99732838	10.99732838	9.19789685	1.149737106	5	6.323554084	5	11.49720694	5.058843268	5	13.4967212	13.4967212	26.99344239	5
75	0	1.392599762	13.11850615	13.11850615	5.802499008	6.382748909	6.382748909	6.382748909	11.60483236	11.60483236	11.60483236	1	1	2.901249504	6	5.802499008	17.40749702	11.10027443	11.10027443	11.10027443	9.283998413	1.160499802	6	6.382748909	6	11.60483236	5.106199127	6	13.62306408	13.62306408	27.24612815	6
76	0	1.405635896	13.24130856	13.24130856	5.856816233	6.442497857	6.442497857	6.442497857	11.71346526	11.71346526	11.71346526	1	1	2.928408117	7	5.856816233	17.5704487	11.20418416	11.20418416	11.20418416	9.370905974	1.171363247	7	6.442497857	7	11.71346526	5.153998285	7	13.75058965	13.75058965	27.50117931	7
77	0	1.418794061	13.36526052	13.36526052	5.911641923	6.502806115	6.502806115	6.502806115	11.82311507	11.82311507	11.82311507	1	1	2.955820961	8	5.911641923	17.73492577	11.30906659	11.30906659	11.30906659	9.458627076	1.182328385	8	6.502806115	8	11.82311507	5.202244892	8	13.879309	13.879309	27.758618	8
78	0	1.4320754	13.4903728	13.4903728	5.966980835	6.563678919	6.563678919	6.563678919	11.93379132	11.93379132	11.93379132	1	1	2.983490418	9	5.966980835	17.90094251	11.41493083	11.41493083	11.41493083	9.547169336	1.193396167	9	6.563678919	9	11.93379132	5.250943135	9	14.00923329	14.00923329	28.01846658	9
79	0	1.445481066	13.61665625	13.61665625	6.022837776	6.625121553	6.625121553	6.625121553	12.04550361	12.04550361	12.04550361	1	1	3.011418888	10	6.022837776	18.06851333	11.52178606	11.52178606	11.52178606	9.636540441	1.204567555	10	6.625121553	10	12.04550361	5.300097243	10	14.1403738	14.1403738	28.2807476	10
80	0	1.459012222	13.74412184	13.74412184	6.079217593	6.687139353	6.687139353	6.687139353	12.15826163	12.15826163	12.15826163	1	1	3.039608797	11	6.079217593	18.23765278	11.62964156	11.62964156	11.62964156	9.726748149	1.215843519	11	6.687139353	11	12.15826163	5.349711482	11	14.27274192	14.27274192	28.54548383	11
81	0	1.63010705	15.3558617	15.3558617	6.792112708	7.471323978	7.471323978	7.471323978	13.58403151	13.58403151	13.58403151	1	1	3.396056354	12	6.792112708	20.37633812	12.99342144	12.99342144	12.99342144	10.86738033	1.358422542	12	7.471323978	12	13.58403151	5.977059183	12	15.94647177	15.94647177	31.89294354	12
82	0	1.821265753	17.15660639	17.15660639	7.588607304	8.347468035	8.347468035	8.347468035	15.17699796	15.17699796	15.17699796	1	1	3.794303652	13	7.588607304	22.76582191	14.51712849	14.51712849	14.51712849	12.14177169	1.517721461	13	8.347468035	13	15.17699796	6.677974428	13	17.81647587	17.81647587	35.63295174	13
83	0	2.034841174	19.16852005	19.16852005	8.478504892	9.326355382	9.326355382	9.326355382	16.95676773	16.95676773	16.95676773	1	1	4.239252446	14	8.478504892	25.43551468	16.21951696	16.21951696	16.21951696	13.56560783	1.695700978	14	9.326355382	14	16.95676773	7.461084305	14	19.90577082	19.90577082	39.81154163	14
