Name_lang,Description_lang,ID,Pos_0,Pos_1,Pos_2,PortLocID,PlayerConditionID,UiTextureAtlasMemberID,Flags,WMOGroupID,PoiDataType,PoiData,Field_9_1_0_38783_011,ContinentID,AreaID,WorldStateID,Field_10_0_0_45141_012,UiWidgetSetID,UiTextureKitID,Field_9_1_0_38783_017,Importance,Icon
"Angor Fortress",,27,-6392.6499023438,-3158,299.76501464844,0,0,0,517,0,0,0,0,0,338,0,0,0,0,84,3,7
"Bloodhoof Village",,28,-2323.919921875,-394.98098754883,-9.12757015228,0,0,0,517,0,0,0,0,1,222,0,0,0,0,83,3,7
"Thunder Bluff",,29,-1205.4100341797,29.42140007019,126.34700012207,0,0,0,541,0,0,0,0,1,215,0,0,0,0,83,3,48
"Camp Narache",,30,-2906.4899902344,-253.60699462891,52.94070053101,0,0,0,517,0,0,0,0,1,221,0,0,0,0,83,3,7
"Razor Hill",,31,312.65899658203,-4745.5200195312,9.54726028442,0,0,0,517,0,0,0,0,1,362,0,0,0,0,83,3,7
"The Den",,32,-604.09802246094,-4202.919921875,38.728099823,0,0,0,517,0,0,0,0,1,364,0,0,0,0,83,3,7
Orgrimmar,,33,1381.7700195312,-4371.16015625,26.0233001709,0,0,0,541,0,0,0,0,1,14,0,0,0,0,83,3,48
"Sen'jin Village",,34,-819.49200439453,-4918.240234375,19.34009933472,0,0,0,516,0,0,0,0,1,367,0,0,0,0,83,3,7
"The Crossroads",,35,-455.89999389648,-2652.1499023438,95.5865020752,0,0,0,517,0,0,0,0,1,17,0,0,0,0,83,3,0
Aldrassil,,36,10462.700195312,805.99298095703,1312.6600341797,0,0,0,517,0,0,0,0,1,188,0,0,0,0,84,3,5
Dolanaar,,37,9787.990234375,949.89697265625,1306.7299804688,0,0,0,517,0,0,0,0,1,5481,0,0,0,0,84,3,7
Darnassus,,38,9951.75,2254.5,1335.4200439453,0,68088,0,541,0,0,0,0,1,141,0,0,0,0,84,3,46
Ratchet,,39,-951.36401367188,-3680.0700683594,8.0401802063,0,0,0,525,0,0,0,0,1,392,0,0,0,0,0,3,5
"Booty Bay",,40,-14383.299804688,487.13900756836,-29.56170082092,0,0,0,525,0,0,0,0,0,35,0,0,0,0,0,3,5
"Grom'gol Base Camp",,41,-12378.400390625,185.73399353027,3.05513000488,0,0,0,525,0,0,0,0,0,33,0,0,0,0,83,3,5
Astranaar,,42,2720.4299316406,-382.39099121094,107.08999633789,0,0,0,517,0,0,0,0,1,331,0,0,0,0,84,3,0
"Stonetalon Peak",,44,2658.7800292969,1449.7099609375,226.13499450684,0,0,0,0,0,0,0,0,1,467,0,0,0,0,84,3,5
Thalanaar,,45,-4510.0297851562,-779.47399902344,-41.5353012085,0,0,0,0,0,0,0,0,1,489,0,0,0,0,84,3,5
"Freewind Post",,46,-5454.0698242188,-2445.5,90.11329650879,0,0,0,0,0,0,0,0,1,484,0,0,0,0,83,3,5
"Mirror Lake",,227,-9389.259765625,458.42700195313,38.28540039063,0,0,0,516,0,0,0,0,0,92,0,0,0,0,0,0,3
"Slaughter Hollow",,247,861.21600341797,-558.21697998047,146.61000061035,0,0,0,516,0,0,0,0,0,282,0,0,0,0,0,0,3
"Drywhisker Gorge",,327,-1014.2199707031,-3827.3898925781,145.41000366211,0,0,0,516,0,0,0,0,0,321,0,0,0,0,0,0,7
"Sun Rock Retreat",,701,936.30798339844,910.97399902344,104.43900299072,0,0,0,517,0,0,0,0,1,406,0,0,0,0,0,1,7
"Temple of Zin-Malor",,707,3549.1499023438,-5359.1201171875,204.10200500488,0,0,0,516,0,0,0,0,1,1221,0,0,0,0,0,0,7
"Hetaera's Clutch",,708,3556.6398925781,-6232.7900390625,44.00859832764,0,0,0,516,0,0,0,0,1,1227,0,0,0,0,0,0,7
"Uther's Tomb",,709,969.17602539063,-1825.5200195312,99.60669708252,0,0,0,516,0,0,0,0,0,197,0,0,0,0,0,0,7
Scholomance,,710,1262.1899414062,-2579.4099121094,126.37000274658,0,0,0,516,0,0,0,0,0,2298,0,0,0,0,0,0,7
"Whitereach Post",,767,-4917.3500976562,-1375.5,-52.37319946289,0,0,0,516,0,0,0,0,1,480,0,0,0,0,0,0,7
Stonard,,788,-10443.700195312,-3277.4899902344,20.17819976807,0,0,0,517,0,0,0,0,0,8,0,0,0,0,0,1,7
Gadgetzan,,789,-7139.1499023438,-3752.1101074219,8.53979969025,0,0,0,517,0,0,0,0,1,440,0,0,0,0,0,3,0
"Camp Mojache",,790,-4394.9799804688,215.61099243164,25.41329956055,0,0,0,517,0,0,0,0,1,215,0,0,0,0,0,3,0
"Theramore Isle",,791,-3680.169921875,-4388.509765625,10.55490016937,0,0,0,525,0,0,0,0,1,15,0,0,0,0,0,3,5
"Aerie Peak",,792,234.85000610352,-2127.7600097656,118.0950012207,0,0,0,517,0,0,0,0,0,47,0,0,0,0,0,2,0
Everlook,,794,6723.4599609375,-4662.5,722.80603027344,0,0,0,517,0,0,0,0,1,618,0,0,0,0,0,3,0
"Shadowprey Village",,795,-1657.8499755859,3097.919921875,30.49950027466,0,0,0,517,0,0,0,0,1,405,0,0,0,0,0,3,0
"Feathermoon Stronghold",,796,-4517.3818359375,2240.9323730469,8.39689159393,0,0,0,517,0,0,0,0,1,357,0,0,0,0,0,3,0
Auberdine,,798,6439.330078125,411.95098876953,10.86320018768,0,0,0,0,0,0,0,0,1,148,0,0,0,0,0,3,5
"Nijel's Point",,799,202.52099609375,1308.2399902344,190.23599243164,0,0,0,517,0,0,0,0,1,405,0,0,0,0,0,3,0
Aldrassil,,907,10479.599609375,812.28100585938,1322.75,0,0,0,516,0,0,0,0,1,188,0,0,0,0,0,0,7
"Shadowthread Cave",,908,10756.200195312,921.30102539063,1338.5600585938,0,0,0,516,0,0,0,0,1,188,0,0,0,0,0,0,7
"Fel Rock",,909,10050.599609375,1031.1999511719,1329.9499511719,0,0,0,516,0,0,0,0,1,186,0,0,0,0,0,0,7
"Ban'ethil Barrow Den",,911,9864.169921875,1557.4100341797,1329.3000488281,0,0,0,516,0,0,0,0,1,736,0,0,0,0,0,0,7
"The Cleft",,912,10316.400390625,1200.6199951172,1458.0899658203,0,0,0,516,0,0,0,0,1,266,0,0,0,0,0,0,7
"Razorwind Canyon",,913,636.96301269531,-4534.0400390625,8.82065010071,0,0,0,516,0,0,0,0,1,410,0,0,0,0,0,0,7
"Tor'kren Farm",,929,726.29699707031,-4242.41015625,17.29150009155,0,0,0,516,0,0,0,0,1,369,0,0,0,0,0,0,7
"Steelgrill's Depot",,947,-5488.0400390625,-658.66998291016,394.3039855957,0,0,0,516,0,0,0,0,0,131,0,0,0,0,0,0,7
"Ironband's Compound",,948,-5858.7001953125,-2004.0999755859,401.64898681641,0,0,0,516,0,0,0,0,0,212,0,0,0,0,0,0,7
"Echo Ridge Mine",,949,-8676.5703125,-119.63400268555,91.42350006104,0,0,0,516,0,0,0,0,0,24,0,0,0,0,0,0,7
"Maclure Vineyards",,950,-9948.3896484375,69.15679931641,33.30020141602,0,0,0,516,0,0,0,0,0,57,0,0,0,0,0,0,7
"Stonefield Farm",,951,-9901.1396484375,378.19000244141,35.28020095825,0,0,0,516,0,0,0,0,0,57,0,0,0,0,0,0,7
"Northshire Vineyards",,954,-9067.349609375,-333.96499633789,73.45169830322,0,0,0,516,0,0,0,0,0,24,0,0,0,0,0,0,7
"Tower of Ilgalar",,955,-9281.330078125,-3318.8100585938,122.24900054932,0,0,0,516,0,0,0,0,0,1000,0,0,0,0,0,0,7
"Render's Rock",,956,-8674.1201171875,-2290.0500488281,157.00900268555,0,0,0,516,0,0,0,0,0,996,0,0,0,0,0,0,7
"Spirit Den",,1007,-13751.400390625,-18.31649971008,49.27679824829,0,0,0,516,0,0,0,0,0,1737,0,0,0,0,0,0,7
"Rethban Caverns",,1008,-8970.759765625,-2002.6999511719,140.7559967041,0,0,0,516,0,0,0,0,0,98,0,0,0,0,0,0,7
"Boulderfist Outpost",,1010,-1194.0500488281,-2119.1599121094,61.88079833984,0,0,0,516,0,0,0,0,0,1858,0,0,0,0,0,0,7
"Grosh'gok Compound",,1011,-11112.200195312,-2335.6298828125,117.1309967041,0,0,0,516,0,0,0,0,0,2561,0,0,0,0,0,0,7
"Stagalbog Cave",,1012,-10803.200195312,-3739.0100097656,27.55859947205,0,0,0,516,0,0,0,0,0,1797,0,0,0,0,0,0,7
"Temple of Atal'Hakkar",,1013,-10429.900390625,-3828.5200195312,37.99129867554,0,0,0,516,0,0,0,0,0,74,0,0,0,0,0,0,7
"The Tower of Arathor",,1014,-1778.2099609375,-1513.1600341797,64.9208984375,0,0,0,516,0,0,0,0,0,324,0,0,0,0,0,0,7
"Wildhammer Keep",,1015,316.9460144043,-2119.3000488281,122.0419998169,0,0,0,516,0,0,0,0,0,348,0,0,0,0,0,0,7
"Night Web's Hollow",,1016,2046.1099853516,1829.4499511719,107.82299804688,0,0,0,516,0,0,0,0,0,154,0,0,0,0,0,0,7
"Terrorweb Tunnel",,1017,3035.330078125,-2773.8999023438,102.87300109863,0,0,0,516,0,0,0,0,0,2627,0,0,0,0,0,0,7
"Browman Mill",,1018,2483.9799804688,-5183.7900390625,76.11350250244,0,0,0,516,0,0,0,0,0,2271,0,0,0,0,0,0,7
Uldaman,,1027,-6092.009765625,-3179.3500976562,257.18798828125,0,0,0,516,0,0,0,0,0,1897,0,0,0,0,0,0,7
"Dustbelch Grotto",,1028,-7320.58984375,-2265.0900878906,244.54800415039,0,0,0,516,0,0,0,0,0,344,0,0,0,0,0,0,7
"Westbrook Garrison",,1029,-9615.7099609375,667.32702636719,38.6521987915,0,0,0,516,0,0,0,0,0,60,0,0,0,0,0,0,7
"Jasperlode Mine",,1030,-9184.5,-605.89099121094,62.8185005188,0,0,0,516,0,0,0,0,0,91,0,0,0,0,0,0,7
"Janeiro's Point",,1031,-14179.599609375,718,28.28849983215,0,0,0,516,0,0,0,0,0,35,0,0,0,0,0,0,7
"Algaz Station",,1032,-4817.7900390625,-2666.6999511719,351.1969909668,0,0,0,516,0,0,0,0,0,838,0,0,0,0,0,0,7
"Grim Batol",,1033,-4055,-3448.5400390625,283.11499023438,0,0,0,516,0,0,0,0,0,1038,0,0,0,0,0,0,7
"Venture Co. Mine",,1047,-1501.4899902344,-1036.1899414062,151.71600341797,0,0,0,516,0,0,0,0,1,820,0,0,0,0,0,0,7
"Blackwood Den",,1048,4619.419921875,25.61260032654,70.49459838867,0,0,0,516,0,0,0,0,1,449,0,0,0,0,0,0,7
"Wildbend River",,1049,5056.0400390625,220.75500488281,22.90740013123,0,0,0,516,0,0,0,0,1,448,0,0,0,0,0,0,7
"Cliffspring Falls",,1050,6870.5698242188,-662.39599609375,86.6429977417,0,0,0,516,0,0,0,0,1,456,0,0,0,0,0,0,7
"Fray Island",,1067,-1668.5100097656,-4329.2001953125,3.26694989204,0,0,0,516,0,0,0,0,1,720,0,0,0,0,0,0,7
"Wailing Caverns",,1068,-837.96801757813,-2037,80.46790313721,0,0,0,516,0,0,0,0,1,387,0,0,0,0,0,0,7
"Shady Rest Inn",,1087,-3723.6298828125,-2535.1799316406,69.56510162354,0,0,0,516,0,0,0,0,1,2302,0,0,0,0,0,0,7
"Darkmist Cavern",,1088,-2829.7900390625,-2722.8100585938,36.78839874268,0,0,0,516,0,0,0,0,1,496,0,0,0,0,0,0,7
"North Point Tower",,1089,-2884.7900390625,-3429.9899902344,39.3569984436,0,0,0,516,0,0,0,0,1,496,0,0,0,0,0,0,7
Bluefen,,1090,-2685.3200683594,-3087.580078125,41.45050048828,0,0,0,516,0,0,0,0,1,496,0,0,0,0,0,0,7
"Lost Point",,1091,-3925.5,-2862.1499023438,46.47909927368,0,0,0,516,0,0,0,0,1,2302,0,0,0,0,0,0,7
"Tidefury Cove",,1092,-4300.9799804688,-4062.7099609375,-10.59459972382,0,0,0,516,0,0,0,0,1,511,0,0,0,0,0,0,7
"Stonemaul Ruins",,1093,-4346.0200195312,-3321.1499023438,34.25469970703,0,0,0,516,0,0,0,0,1,510,0,0,0,0,0,0,7
"Onyxia's Lair",,1094,-4698.0600585938,-3720.580078125,50.4640007019,0,0,0,516,0,0,0,0,1,511,0,0,0,0,0,0,7
"Emberstrife's Den",,1095,-4987.7299804688,-3832.9899902344,44.84970092773,0,0,0,516,0,0,0,0,1,511,0,0,0,0,0,0,7
"Bloodfen Burrow",,1096,-4335.0400390625,-2639.5300292969,39.6316986084,0,0,0,516,0,0,0,0,1,509,0,0,0,0,0,0,7
"Sentry Point",,1097,-3476.5900878906,-4109.080078125,17.10409927368,0,0,0,516,0,0,0,0,1,502,0,0,0,0,0,0,7
"Swamplight Manor",,1098,-2949.4699707031,-3893.5,35.03030014038,0,0,0,516,0,0,0,0,1,502,0,0,0,0,0,0,7
"Irondeep Mine","Alliance Controlled",1099,793.7509765625,-330.1969909668,63.02600097656,0,14882,0,644,0,0,0,0,30,0,1358,0,0,0,0,0,3
"Stonehearth Outpost",,1100,1.66763997078,-292.67498779297,15.78369998932,0,0,0,516,0,0,0,0,30,0,0,0,0,0,0,0,7
"Iceblood Garrison",,1101,-537.80700683594,-168.3630065918,57.70529937744,0,0,0,516,0,0,0,0,30,0,0,0,0,0,0,0,7
"Coldtooth Mine","Horde Controlled",1102,-946.91198730469,-195.45399475098,76.95970153809,0,15185,0,644,0,0,0,0,30,0,1356,0,0,0,0,0,2
"Frostwolf Keep",,1103,-1369.0100097656,-225.36999511719,98.78359985352,0,0,0,516,0,0,0,0,30,0,0,0,0,0,0,0,7
"Marshal's Refuge",,1104,-6143.2099609375,-1078.8900146484,-198.36599731445,0,0,0,516,0,0,0,0,1,538,0,0,0,0,0,0,7
"Fungal Rock",,1105,-6370.1499023438,-1836.5200195312,-258.02899169922,0,0,0,516,0,0,0,0,1,538,0,0,0,0,0,0,7
"Wavestrider Beach",,1106,-7693.4501953125,-4878.9599609375,0.65805697441,0,0,0,516,0,0,0,0,1,1336,0,0,0,0,0,0,7
Uldum,,1107,-9635.41015625,-2787.1999511719,7.85783004761,0,0,0,516,0,0,0,0,1,990,0,0,0,0,0,0,7
"Darkcloud Pinnacle",,1108,-5086.2099609375,-1919.4399414062,88.18109893799,0,0,0,516,0,0,0,0,1,2097,0,0,0,0,0,0,7
"Roguefeather Den",,1109,-5466.7099609375,-1636.2700195312,29.02519989014,0,0,0,516,0,0,0,0,1,483,0,0,0,0,0,0,7
"Mirage Raceway",,1110,-6239.419921875,-3973.1201171875,-58.75009918213,0,0,0,516,0,0,0,0,1,439,0,0,0,0,0,0,7
"Sunken Dig Site",,1111,-6490.6098632812,-3449.1499023438,-58.7825012207,0,0,0,516,0,0,0,0,1,439,0,0,0,0,0,0,7
"Splithoof Hold",,1112,-5065.6098632812,-2367.6101074219,-53.67250061035,0,0,0,516,0,0,0,0,1,481,0,0,0,0,0,0,7
"The Weathered Nook",,1113,-5213.8500976562,-2794.5300292969,-7.09191989899,0,0,0,516,0,0,0,0,1,481,0,0,0,0,0,0,7
"Ironstone Camp",,1114,-5848.0498046875,-3412.3798828125,-51.05550003052,0,0,0,516,0,0,0,0,1,2303,0,0,0,0,0,0,7
"Weazel's Crater",,1115,-5799.9399414062,-3899.5300292969,-96.74299621582,0,0,0,516,0,0,0,0,1,439,0,0,0,0,0,0,7
"Tahonda Ruins",,1116,-6569.91015625,-3894.9699707031,-58.75,0,0,0,516,0,0,0,0,1,439,0,0,0,0,0,0,7
"Roland's Doom",,1127,-11076,-1139.9799804688,42.87680053711,0,0,0,516,0,0,0,0,0,241,0,0,0,0,0,0,7
"Beggar's Haunt",,1128,-10349.700195312,-1538.8000488281,92.6423034668,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,7
"Bolgan's Hole",,1147,-2281.9499511719,2499.6000976562,73.75360107422,0,0,0,516,0,0,0,0,1,606,0,0,0,0,0,0,7
Maraudon,,1148,-1422.6199951172,2918.4499511719,136.14700317383,0,0,0,516,0,0,0,0,1,607,0,0,0,0,0,0,7
"Ghost Walker Post",,1149,-1224.0600585938,1736.6700439453,90.02230072021,0,0,0,516,0,0,0,0,1,596,0,0,0,0,0,0,7
"Scrabblescrew's Camp",,1150,-1407.8699951172,1493.1300048828,60.88710021973,0,0,0,516,0,0,0,0,1,602,0,0,0,0,0,0,7
"Valley of Bones",,1151,-2251.1899414062,1513.5500488281,63.58810043335,0,0,0,516,0,0,0,0,1,602,0,0,0,0,0,0,7
"Rage Scar Hold",,1168,-3842.7099609375,1738.9399414062,149.97399902344,0,0,0,516,0,0,0,0,1,1119,0,0,0,0,0,0,7
"Ruins of Solarsal",,1169,-4852.91015625,3616.6298828125,16.4186000824,0,0,0,516,0,0,0,0,1,1117,0,0,0,0,0,0,7
"Ravaged Twilight Camp",,1171,-6206.25,1766.9499511719,17.46369934082,0,53948,0,516,0,0,0,0,1,2740,0,0,0,0,0,0,7
"Twilight Post",,1172,-6740.0400390625,1636.3199462891,15.28380012512,0,53948,0,516,0,0,0,0,1,3098,0,0,0,0,0,0,7
"Twilight Outpost",,1173,-7929.1098632812,1833.2800292969,4.86470985413,0,53948,0,516,0,0,0,0,1,2743,0,0,0,0,0,0,7
"Woodpaw Hills",,1174,-4915.8100585938,199.27499389648,52.29550170898,0,0,0,516,0,0,0,0,1,1101,0,0,0,0,0,0,7
"Lariss Pavillion",,1175,-4052.7199707031,81.55249786377,77.1754989624,0,0,0,516,0,0,0,0,1,1103,0,0,0,0,0,0,7
"Slither Rock",,1176,-7652.5200195312,-3030.6101074219,134.2559967041,0,0,0,516,0,0,0,0,0,2420,0,0,0,0,0,0,7
"Flame Crest",,1177,-7479.7700195312,-2186.3999023438,166.14999389648,0,0,0,517,0,0,0,0,0,250,0,0,0,0,0,3,7
"Shalzaru's Lair",,1187,-5492.3701171875,3622.7900390625,3.70376992226,0,0,0,516,0,0,0,0,1,1121,0,0,0,0,0,0,7
"Stormpike Graveyard","Alliance Controlled",1208,666.92700195313,-305.54400634766,30.29089927673,0,14966,0,644,0,0,0,0,30,0,1333,0,0,0,0,0,15
"Snowfall Graveyard","Horde Controlled",1209,-202.69500732422,-112.56900024414,78.49040222168,0,14959,0,644,0,0,0,0,30,0,1342,0,0,0,0,0,13
"Frostwolf Graveyard","Horde Controlled",1210,-1083.3100585938,-307.40200805664,57.79199981689,0,14953,0,644,0,0,0,0,30,0,1338,0,0,0,0,0,13
"Scalebeard's Cave",,1211,3705.1000976562,-6043.4501953125,2.50782990456,0,0,0,516,0,0,0,0,1,1227,0,0,0,0,0,0,7
"Timbermaw Hold",,1212,6900.6298828125,-2298.1799316406,588.52099609375,0,0,0,516,0,0,0,0,1,2246,0,0,0,0,0,0,7
"The Ruins of Kel'Theril",,1213,6426.759765625,-4304.990234375,666.74298095703,0,0,0,516,0,0,0,0,1,2251,0,0,0,0,0,0,7
"Dun Mandarr",,1214,5718.830078125,-4507.3100585938,761.0830078125,0,0,0,516,0,0,0,0,1,2245,0,0,0,0,0,0,7
"Talrendis Point",,1215,2707.7199707031,-3869.25,104.20700073242,0,0,0,516,0,0,0,0,1,1235,0,0,0,0,0,0,7
"Rethress Sanctum",,1216,2195.669921875,-6438.330078125,2.13105010986,0,0,0,516,0,0,0,0,1,1256,0,0,0,0,0,0,7
"Moon Horror Den",,1217,7123.0200195312,-4631.5698242188,639.67999267578,0,0,0,516,0,0,0,0,1,2255,0,0,0,0,0,0,7
"Timbermaw Hold",,1218,6817.7797851562,-2097.6799316406,624.83697509766,0,0,0,516,0,0,0,0,1,1762,0,0,0,0,0,0,7
"Irontree Cavern",,1219,6481.8701171875,-1571,438.96499633789,0,0,0,516,0,0,0,0,1,1767,0,0,0,0,0,0,7
"Bloodvenom Post",,1220,5111.9799804688,-353.40301513672,357.23098754883,0,0,0,516,0,0,0,0,1,1765,0,0,0,0,0,0,7
"Sishir Canyon",,1227,515.84497070313,624.04998779297,68.15930175781,0,0,0,516,0,0,0,0,1,2541,0,0,0,0,0,0,7
"Cragpool Lake",,1228,1543.5699462891,70.13379669189,-10.38169956207,0,0,0,516,0,0,0,0,1,461,0,0,0,0,0,0,7
"Windshear Mine",,1229,981.94897460938,-358.89999389648,15.23159980774,0,0,0,516,0,0,0,0,1,461,0,0,0,0,0,0,7
"The Talondeep Path",,1230,1531.9399414062,-576.57000732422,68.96119689941,0,0,0,516,0,0,0,0,1,461,0,0,0,0,0,0,7
"The Talon Den",,1231,2416.8898925781,1792.3900146484,394.93899536133,0,0,0,516,0,0,0,0,1,467,0,0,0,0,0,0,7
"The Ruins of Ordil'Aran",,1232,3493.8898925781,-119.60099792481,0.71548801661,0,0,0,516,0,0,0,0,1,413,0,0,0,0,0,0,7
"Bathran's Haunt",,1233,3827.3701171875,-161.30499267578,-0.60682398081,0,0,0,516,0,0,0,0,1,413,0,0,0,0,0,0,7
"Zoram'gar Outpost",,1234,3362.2199707031,1010.1599731445,3.59812998772,0,0,0,517,0,0,0,0,1,414,0,0,0,0,0,3,0
"Falfarren River",,1235,2231.2099609375,-2222.9099121094,94.41020202637,0,0,0,516,0,0,0,0,1,428,0,0,0,0,0,0,7
Xavian,,1237,2936.5600585938,-2822.669921875,212.73100280762,0,0,0,516,0,0,0,0,1,430,0,0,0,0,0,0,7
"Forest Song",,1238,2880.330078125,-3287.5400390625,157.81900024414,0,0,0,516,0,0,0,0,1,430,0,0,0,0,0,0,7
"Demon Fall Canyon",,1239,1702.4499511719,-3150.9899902344,93.52290344238,0,0,0,516,0,0,0,0,1,434,0,0,0,0,0,0,7
"Silverwing Outpost",,1240,1776.6400146484,-2065.1499023438,104.19400024414,0,0,0,516,0,0,0,0,1,422,0,0,0,0,0,0,7
"The Dor'Danil Barrow Den",,1241,1776.2299804688,-2678.3601074219,111.66600036621,0,0,0,516,0,0,0,0,1,422,0,0,0,0,0,0,7
"Silverwind Refuge",,1242,2130.2700195312,-1190.25,99.86309814453,0,0,0,517,0,0,0,0,1,421,0,0,0,0,0,1,7
"Greenpaw Village",,1243,2291.2900390625,-1444.9599609375,87.87969970703,0,0,0,516,0,0,0,0,1,421,0,0,0,0,0,0,7
"Bloodtooth Camp",,1244,1612.5200195312,-1465.0999755859,157.02299499512,0,0,0,516,0,0,0,0,1,421,0,0,0,0,0,0,7
"The Talondeep Path",,1245,1930.2600097656,-732.67700195313,114.53399658203,0,0,0,516,0,0,0,0,1,421,0,0,0,0,0,0,7
"Shrine of Remulos",,1246,7856.1801757812,-2215.4499511719,471.3039855957,0,0,0,516,0,0,0,0,1,656,0,0,0,0,0,0,7
Nighthaven,,1247,7961.75,-2491.7700195312,487.88299560547,0,0,0,517,0,0,0,0,1,656,0,0,0,0,0,3,0
"Stormrage Barrow Dens",,1248,7564.509765625,-2951.7199707031,466.68200683594,0,0,0,516,0,0,0,0,1,656,0,0,0,0,0,0,7
"Dun Baldar South Bunker","Alliance Controlled",1249,571.53497314453,-80.54299926758,37.91130065918,0,15021,0,644,0,0,0,0,30,0,1361,0,0,0,0,0,11
"Iceblood Graveyard","In Conflict",1376,-531.42498779297,-405.32598876953,30.76189994812,0,15039,0,644,0,0,0,0,30,0,1349,0,0,0,0,0,14
"Dun Baldar North Bunker","Alliance Controlled",1250,668.03997802734,-128.17599487305,49.64820098877,0,15229,0,644,0,0,0,0,30,0,1362,0,0,0,0,0,11
"Icewing Bunker","Alliance Controlled",1251,217.42500305176,-359.76400756836,42.38230133057,0,15186,0,644,0,0,0,0,30,0,1363,0,0,0,0,0,11
"Iceblood Tower","Horde Controlled",1252,-562.17199707031,-273.5539855957,52.32849884033,0,15081,0,644,0,0,0,0,30,-1,1385,0,0,0,0,0,10
"Tower Point","Horde Controlled",1254,-760.66400146484,-347.32598876953,68.0353012085,0,15132,0,644,0,0,0,0,30,-1,1384,0,0,0,0,0,10
"East Frostwolf Tower","Horde Controlled",1255,-1312.6500244141,-315.88598632813,91.09870147705,0,15064,0,644,0,0,0,0,30,-1,1383,0,0,0,0,0,10
