Position_0,Position_1,Position_2,ID,WarbandSceneID,SlotType,Rotation,Scale,Field_11_0_0_54210_004,Field_11_0_0_54210_005,Field_12_0_0_63534_008,SlotID,Field_12_0_0_63534_010
-2821.4899902344,384.41799926758,79.48090362549,59,7,1,45,1,0,0,0,1,0
-2819.9099121094,391.01000976563,79.61920166016,60,7,0,12,1,0,31,0,2,0
-2824.0300292969,387.56399536133,79.4774017334,61,7,1,18,1,0,0,0,2,0
-2819.3601074219,393.27301025391,79.65100097656,62,7,0,348.5,1,0,31,0,3,0
-2821.7600097656,394.45999145508,79.67189788818,63,7,1,350,1,0,0,0,3,0
0,0,0,148,29,0,0,1,0,3,0,0,0
0,0,0,149,29,0,0,1,0,3,0,1,0
0,0,0,150,29,0,0,1,0,3,0,2,0
0,0,0,151,29,0,0,1,0,3,0,3,0
420.44400024414,-806.69396972656,25.00889968872,424,25,0,49,1,0,31,0,0,0
417.90100097656,-809.88500976563,25.00399971008,425,25,1,35.5,1,0,0,0,0,0
418.44100952148,-804.58502197266,24.99139976501,426,25,0,12.5,1,0,31,0,1,0
414.98300170898,-807.10797119141,25.05739974976,427,25,1,19.5,1,0,0,0,1,0
418.78500366211,-800.97698974609,25.00189971924,428,25,0,339.5,1,0,31,0,2,0
413.82998657227,-802.625,25.06719970703,429,25,1,359.5,1,0,0,0,2,0
420.33999633789,-799.09399414063,24.99950027466,430,25,0,320.5,1,0,31,0,3,0
419.49700927734,-797.42199707031,24.99749946594,431,25,1,311,1,0,0,0,3,0
-2981.8200683594,457.35000610352,452.82598876953,470,99,0,108,1,0,49,0,0,0
-2979.5500488281,454.73400878906,452.73001098633,471,99,1,115,1,0,7,0,0,0
-2984.3200683594,456.63900756836,452.8450012207,472,99,0,85,1,0,145,0,1,0
-2982.9499511719,451.9460144043,452.79699707031,473,99,1,100,1,0,7,0,1,0
-2986.6298828125,457.6369934082,452.94400024414,474,99,0,50,1,0,81,0,2,0
-2986.7600097656,452.16198730469,452.93600463867,475,99,1,62,1,0,7,0,2,0
-2987.669921875,459.73599243164,453.07998657227,476,99,0,32,1,0,31,0,3,0
-2990.2299804688,458.94500732422,453.10198974609,477,99,1,32,1,0,7,0,3,0
-2981.8200683594,457.35000610352,452.82598876953,478,99,2,108,1,0,32,0,0,0
-2984.3200683594,456.63900756836,452.8450012207,479,99,2,85,1,0,128,0,1,0
-2986.6298828125,457.6369934082,452.94400024414,480,99,2,50,1,0,80,0,2,2
-2966.0261230469,412.10589599609,85.03319549561,513,110,0,0,1,0,31,0,0,0
-2965.5900878906,408.91101074219,84.60780334473,514,110,0,0,1,0,31,0,1,0
-2966.4548339844,406.12326049805,84.54319000244,515,110,0,0,1,0,31,0,2,0
-2966.4499511719,406.12298583984,84.54319763184,516,110,0,0,1,0,31,0,3,0
-2981.8200683594,457.35000610352,452.82598876953,517,111,0,108,1,0,31,0,0,0
-2979.5500488281,454.73400878906,452.73001098633,518,111,1,115,1,0,7,0,0,0
-2984.3200683594,456.63900756836,452.8450012207,519,111,0,85,1,0,31,0,1,0
-2982.9499511719,451.9460144043,452.79699707031,520,111,1,100,1,0,7,0,1,0
-2986.6298828125,457.6369934082,452.94400024414,521,111,0,50,1,0,31,0,2,0
-2986.7600097656,452.16198730469,452.93600463867,522,111,1,62,1,0,7,0,2,0
-2987.669921875,459.73599243164,453.07998657227,523,111,0,32,1,0,31,0,3,0
-2990.2299804688,458.94500732422,453.10198974609,524,111,1,32,1,0,7,0,3,0
-668.5,-150.74099731445,534.79998779297,549,119,0,286.00201416016,1,0,145,0,0,0
-669.95001220703,-146.19999694824,534.79998779297,550,119,1,287.5,1,0,7,0,0,0
-666.25,-150.07099914551,534.79998779297,551,119,0,257.5,1,0,19,0,1,0
-666.34997558594,-144,534.79998779297,552,119,1,271.5,1,0,7,0,1,0
-664,-151.04499816895,534.79998779297,553,119,0,221.5,1,0,19,0,2,0
-662.75,-144.19999694824,534.79998779297,554,119,1,234,1,0,7,0,2,0
-663.44000244141,-153.19999694824,534.79998779297,555,119,0,203.5,1,0,81,0,3,0
-658.25177001953,-151.33854675293,534.79998779297,556,119,1,203.5,1,0,7,0,3,0
-668.5,-150,534.85998535156,557,119,2,285.5,1,0,128,0,0,0
-662.65002441406,-152.80000305176,534.82000732422,558,119,2,203.5,1,0,64,0,3,0
-2982.1440429688,458.015625,452.86611938477,725,141,0,108.0000076294,1,0,5,0,0,0
-2982.8784179688,454.68923950195,453.33975219727,726,141,1,115,1,0,7,0,0,0
-2984.2778320312,456.55557250977,452.8415222168,727,141,0,85,1,0,31,0,1,0
-2985.2238769531,454.20660400391,452.91439819336,728,141,1,99.99999237061,1,0,7,0,1,0
-2985.8698730469,458.91320800781,452.96310424805,729,141,0,78.5,1,0,31,0,2,0
-2986.7600097656,452.16198730469,452.93600463867,730,141,1,62,1,0,7,0,2,0
-2987.8020019531,460.421875,453.10256958008,731,141,0,32,1,0,31,0,3,0
-2990.2299804688,458.94500732422,453.10198974609,732,141,1,32,1,0,7,0,3,0
953.18402099609,-75.33333587646,121.02144622803,749,145,2,41.83306884766,1,0,64,0,3,2
959.81945800781,-76.40798950195,121.04917907715,750,145,0,128.00198364258,1,0,145,0,0,0
963.49829101563,-79.93923950195,121.26419067383,751,145,1,133.50006103516,1,0,7,0,0,0
957.54864501953,-77.88889312744,121.16990661621,752,145,0,102.5,1,0,19,0,1,0
959.35070800781,-83.66146087646,121.28954315186,753,145,1,116.49996948242,1,0,7,0,1,0
955.09722900391,-77.33333587646,121.13706970215,754,145,0,56.49993896484,1,0,19,0,2,0
950.30206298828,-81.359375,121.38706207275,755,145,1,48,1,0,7,0,2,0
953.83160400391,-74.78993225098,121.09136199951,756,145,0,38.49993896484,1,0,81,0,3,0
949.26739501953,-76.39583587646,121.4489364624,757,145,1,19,1,0,7,0,3,0
960.28472900391,-77.05555725098,121.03121185303,758,145,2,125,1,0,128,0,0,2
1001.1301879883,-141.67013549805,95.80083465576,759,146,2,327.5,1,0,64,0,3,2
1002.9965209961,-149.02604675293,95.84775543213,760,146,0,45.00201416016,1,0,81,0,0,0
1002.0590209961,-152.53125,96.04194641113,761,146,1,62.5,1,0,7,0,0,0
1000.7222290039,-147.25694274902,96.1229095459,762,146,0,26,1,0,19,0,1,0
996.61981201172,-150.78472900391,96.18216705322,763,146,1,40,1,0,7,0,1,0
1000.1370849609,-144.52256774902,95.96960449219,764,146,0,354.5,1,0,19,0,2,0
994.79516601563,-142.73785400391,96.09757232666,765,146,1,341.5,1,0,7,0,2,0
1001.9827270508,-142.15625,95.84162139893,766,146,0,331.5,1,0,81,0,3,0
997.94445800781,-138.80903625488,96.10305023193,767,146,1,312,1,0,7,0,3,0
1002.421875,-149.57118225098,95.82532501221,768,146,2,42,1,0,64,0,0,2
